index,day,state,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump,c_minus_t_raw,c_minus_t_adj
62,2016-01-29,U.S.,46.9,35.3,45.07183,35.59172,11.600000000000001,9.480109999999996
63,2016-01-30,U.S.,44.7,37.1,42.86492,37.41659,7.600000000000001,5.448329999999999
64,2016-01-31,U.S.,42.6,39.0,40.76009,39.34243,3.6000000000000014,1.417659999999998
65,2016-02-01,U.S.,44.3,36.7,42.45362,37.06633,7.599999999999994,5.38729
66,2016-02-02,U.S.,44.4,37.0,42.54664,37.38779,7.399999999999999,5.158849999999994
67,2016-02-03,U.S.,45.5,36.0,43.63861,36.41092,9.5,7.227690000000003
68,2016-02-04,U.S.,45.7,35.7,43.83049,36.13332,10.0,7.69717
69,2016-02-05,U.S.,47.8,33.7,45.92345,34.15584,14.099999999999994,11.767610000000005
70,2016-02-06,U.S.,45.2,36.2,43.31565,36.68004,9.0,6.63561
71,2016-02-07,U.S.,43.7,36.8,41.80786,37.30414,6.900000000000006,4.503720000000001
72,2016-02-08,U.S.,43.2,37.6,41.30009,38.12812,5.600000000000001,3.1719699999999946
73,2016-02-09,U.S.,42.6,38.5,40.69344,39.04954,4.100000000000001,1.6439000000000021
74,2016-02-10,U.S.,43.5,37.8,41.58552,38.37333,5.700000000000003,3.2121899999999997
75,2016-02-11,U.S.,43.95547310779551,41.231189408139926,42.05749798486395,41.95021248031731,2.7242836996555826,0.10728550454663788
76,2016-02-12,U.S.,44.34596818473857,41.42800750973226,42.44473902126187,42.160098171111386,2.9179606750063094,0.2846408501504867
77,2016-02-13,U.S.,44.53625611947868,40.76205208419673,42.62755192679124,41.50341776342703,3.7742040352819464,1.124134163364214
78,2016-02-14,North Carolina,43.0,45.0,39.90517,44.40152,-2.0,-4.49635
79,2016-02-14,U.S.,43.884734527742495,40.852806901207046,41.964953506464965,41.60133052352286,3.0319276265354476,0.3636229829421082
80,2016-02-15,North Carolina,45.10097616294381,42.899023837056184,42.86486764514302,43.647842073507576,2.2019523258876257,-0.7829744283645519
81,2016-02-15,U.S.,42.61446978757755,41.089622131143706,40.686212263374074,41.85118760170122,1.5248476564338382,-1.1649753383271453
82,2016-02-16,North Carolina,45.10097616294381,42.899023837056184,42.86486764514302,43.647842073507576,2.2019523258876257,-0.7829744283645519
83,2016-02-16,U.S.,41.9,37.0,39.91237,37.70285,4.899999999999999,2.209520000000005
84,2016-02-17,North Carolina,47.0,41.0,45.54007,42.96661,6.0,2.573459999999997
85,2016-02-17,U.S.,41.7,37.3,39.70163,38.02615,4.400000000000006,1.6754800000000003
86,2016-02-18,North Carolina,47.0,41.0,45.54007,42.96661,6.0,2.573459999999997
87,2016-02-18,U.S.,41.8,37.5,39.78637,38.25203,4.299999999999997,1.5343400000000003
88,2016-02-19,North Carolina,47.0,41.0,45.54007,42.96661,6.0,2.573459999999997
89,2016-02-19,U.S.,43.6,35.5,41.57677,36.27308,8.100000000000001,5.303690000000003
90,2016-02-20,New Hampshire,47.0,39.0,44.06945,41.18505,8.0,2.8844000000000065
91,2016-02-20,U.S.,44.3,37.4,42.26671,38.19465,6.899999999999999,4.0720600000000005
92,2016-02-21,New Hampshire,47.0,39.0,44.06945,41.18505,8.0,2.8844000000000065
93,2016-02-21,Texas,44.0,47.0,40.66806,46.52518,-3.0,-5.857120000000002
94,2016-02-21,U.S.,44.3,37.8,42.25777,38.61454,6.5,3.6432300000000026
95,2016-02-22,Georgia,41.0,50.0,37.52132,49.15626,-9.0,-11.63494
96,2016-02-22,New Hampshire,47.0,39.0,44.06945,41.18505,8.0,2.8844000000000065
97,2016-02-22,Texas,44.0,47.0,40.66806,46.52518,-3.0,-5.857120000000002
98,2016-02-22,U.S.,44.6,38.1,42.54902,38.93575,6.5,3.61327
99,2016-02-23,Georgia,41.0,50.0,37.52132,49.15626,-9.0,-11.63494
100,2016-02-23,New Hampshire,47.0,39.0,44.06945,41.18505,8.0,2.8844000000000065
101,2016-02-23,U.S.,43.8,38.5,41.74251,39.3539,5.299999999999997,2.38861
102,2016-02-24,New Hampshire,47.0,39.0,44.06945,41.18505,8.0,2.8844000000000065
103,2016-02-24,U.S.,43.6,39.1,41.54047,39.96747,4.5,1.5730000000000004
104,2016-02-25,New Hampshire,47.0,39.0,44.06945,41.18505,8.0,2.8844000000000065
105,2016-02-25,U.S.,44.8,37.6,42.73633,38.48354,7.199999999999996,4.2527900000000045
106,2016-02-26,New Hampshire,47.0,39.0,44.06945,41.18505,8.0,2.8844000000000065
107,2016-02-26,U.S.,44.8,37.4,42.73115,38.30077,7.399999999999999,4.4303799999999995
108,2016-02-27,New Hampshire,47.0,39.0,44.06945,41.18505,8.0,2.8844000000000065
109,2016-02-27,U.S.,45.9,36.0,43.8215,36.91534,9.899999999999999,6.90616
110,2016-02-28,New Hampshire,47.0,39.0,44.06945,41.18505,8.0,2.8844000000000065
111,2016-02-28,U.S.,46.0,36.3,43.91339,37.23425,9.700000000000003,6.679139999999997
112,2016-02-29,U.S.,45.5,34.5,43.41054,35.4516,11.0,7.958939999999998
113,2016-03-01,U.S.,45.2,33.8,43.10592,34.77016,11.400000000000006,8.33576
114,2016-03-02,U.S.,46.2,32.2,44.10165,33.18721,14.0,10.914439999999999
115,2016-03-03,U.S.,44.9,32.0,42.8073,32.99287,12.899999999999999,9.814429999999994
116,2016-03-04,Florida,44.0,45.0,41.29272,45.46555,-1.0,-4.172829999999998
117,2016-03-04,U.S.,45.9,32.1,43.81117,33.09582,13.799999999999997,10.715349999999994
118,2016-03-05,Florida,44.0,45.0,41.29272,45.46555,-1.0,-4.172829999999998
119,2016-03-05,U.S.,47.0,32.1,44.90795,33.10412,14.899999999999999,11.803829999999998
120,2016-03-06,Florida,44.0,45.0,41.29272,45.46555,-1.0,-4.172829999999998
121,2016-03-06,U.S.,45.2,34.4,43.10374,35.41288,10.800000000000004,7.690860000000001
122,2016-03-07,U.S.,43.6,36.9,41.49777,37.92498,6.700000000000003,3.572790000000005
123,2016-03-08,U.S.,43.1,38.2,40.99657,39.23371,4.899999999999999,1.7628599999999963
124,2016-03-09,North Carolina,42.0,49.0,38.75657,48.77146,-7.0,-10.014889999999994
125,2016-03-09,U.S.,41.9,38.1,39.79499,39.1412,3.799999999999997,0.6537900000000008
126,2016-03-10,North Carolina,42.0,49.0,38.75657,48.77146,-7.0,-10.014889999999994
127,2016-03-10,U.S.,41.8,39.4,39.69315,40.44725,2.3999999999999986,-0.754099999999994
128,2016-03-11,U.S.,44.1,38.8,41.99097,39.85349,5.300000000000004,2.1374799999999965
129,2016-03-12,U.S.,43.1,37.7,40.98823,38.76084,5.399999999999999,2.2273899999999998
130,2016-03-13,U.S.,42.5,39.6,40.38955,40.66574,2.8999999999999986,-0.2761899999999997
131,2016-03-14,U.S.,42.8,40.2,40.69189,41.27271,2.5999999999999943,-0.5808199999999957
132,2016-03-15,U.S.,40.7,40.4,38.59477,41.48149,0.30000000000000426,-2.886720000000004
133,2016-03-16,California,57.0,30.0,55.31086,31.70471,27.0,23.60615
134,2016-03-16,U.S.,39.0,40.5,36.89938,41.58645,-1.5,-4.6870699999999985
135,2016-03-17,California,57.0,30.0,55.31086,31.70471,27.0,23.60615
136,2016-03-17,U.S.,41.2,40.1,39.10933,41.19357,1.1000000000000014,-2.084240000000001
137,2016-03-18,California,57.0,30.0,55.31086,31.70471,27.0,23.60615
138,2016-03-18,U.S.,41.8,37.8,39.72311,38.92915,4.0,0.7939599999999984
139,2016-03-19,California,57.0,30.0,55.31086,31.70471,27.0,23.60615
140,2016-03-19,Michigan,47.0,37.0,45.86452,39.08258,10.0,6.781939999999999
141,2016-03-19,U.S.,48.43713566914082,36.445029146468734,46.48545622728033,37.51871488273923,11.992106522672088,8.966741344541104
142,2016-03-20,California,57.0,30.0,55.31086,31.70471,27.0,23.60615
143,2016-03-20,Michigan,47.0,37.0,45.86452,39.08258,10.0,6.781939999999999
144,2016-03-20,U.S.,48.58732375195831,37.00441414912114,46.639945534159864,38.0906181756835,11.582909602837166,8.549327358476363
145,2016-03-21,California,57.0,30.0,55.31086,31.70471,27.0,23.60615
146,2016-03-21,Michigan,47.0,37.0,45.86452,39.08258,10.0,6.781939999999999
147,2016-03-21,U.S.,48.62953712028992,36.39159625164553,46.69086422024242,37.48803493972146,12.237940868644394,9.202829280520954
148,2016-03-22,California,57.0,30.0,55.31086,31.70471,27.0,23.60615
149,2016-03-22,Michigan,47.0,37.0,45.86452,39.08258,10.0,6.781939999999999
150,2016-03-22,U.S.,48.576327268685375,36.44731321495378,46.64878966855276,37.55056591912848,12.129014053731597,9.098223749424276
151,2016-03-23,California,57.0,30.0,55.31086,31.70471,27.0,23.60615
152,2016-03-23,Michigan,49.0,38.0,45.27774,37.67109,11.0,7.606650000000002
153,2016-03-23,U.S.,46.1,35.6,44.087,36.83521,10.5,7.251790000000007
154,2016-03-24,Michigan,49.0,38.0,45.27774,37.67109,11.0,7.606650000000002
155,2016-03-24,U.S.,45.9,35.4,43.90667,36.64617,10.5,7.2605
156,2016-03-25,U.S.,47.9,33.1,45.9277,34.35698,14.799999999999997,11.570720000000001
157,2016-03-26,U.S.,47.7,33.2,45.74762,34.46983,14.5,11.277789999999996
158,2016-03-27,U.S.,47.2,32.4,45.27006,33.68008,14.800000000000004,11.589980000000004
159,2016-03-28,U.S.,45.8,33.6,43.87563,34.90994,12.199999999999996,8.965690000000002
160,2016-03-28,Wisconsin,49.0,35.0,48.24413,36.68616,14.0,11.557969999999997
161,2016-03-29,U.S.,44.1,33.6,42.18518,34.93524,10.5,7.249940000000002
162,2016-03-29,Wisconsin,49.0,35.0,48.24413,36.68616,14.0,11.557969999999997
163,2016-03-30,California,60.0,26.0,57.04154,26.44514,34.0,30.5964
164,2016-03-30,Pennsylvania,45.0,42.0,43.71471,42.46722,3.0,1.247489999999999
165,2016-03-30,U.S.,43.6,34.0,41.70235,35.34445,9.600000000000001,6.357900000000001
166,2016-03-30,Wisconsin,49.0,35.0,48.24413,36.68616,14.0,11.557969999999997
167,2016-03-31,California,60.0,26.0,57.04154,26.44514,34.0,30.5964
168,2016-03-31,Georgia,50.0,37.0,48.55048,39.85888,13.0,8.691600000000001
169,2016-03-31,Pennsylvania,45.0,42.0,43.71471,42.46722,3.0,1.247489999999999
170,2016-03-31,U.S.,43.8,33.5,41.92469,34.85075,10.299999999999997,7.07394
171,2016-04-01,California,60.0,26.0,57.04154,26.44514,34.0,30.5964
172,2016-04-01,Georgia,50.0,37.0,48.55048,39.85888,13.0,8.691600000000001
173,2016-04-01,Pennsylvania,45.0,42.0,43.71471,42.46722,3.0,1.247489999999999
174,2016-04-01,U.S.,42.4,35.6,40.54827,36.95871,6.799999999999997,3.5895599999999988
175,2016-04-02,California,60.0,26.0,57.04154,26.44514,34.0,30.5964
176,2016-04-02,Georgia,50.0,37.0,48.55048,39.85888,13.0,8.691600000000001
177,2016-04-02,Pennsylvania,45.0,42.0,43.71471,42.46722,3.0,1.247489999999999
178,2016-04-02,U.S.,42.7,34.2,40.87314,35.56499,8.5,5.308149999999998
179,2016-04-03,California,60.0,26.0,57.04154,26.44514,34.0,30.5964
180,2016-04-03,Georgia,50.0,37.0,48.55048,39.85888,13.0,8.691600000000001
181,2016-04-03,Pennsylvania,45.0,42.0,43.71471,42.46722,3.0,1.247489999999999
182,2016-04-03,U.S.,43.6,33.6,41.79613,34.97287,10.0,6.823259999999998
183,2016-04-04,New York,53.0,37.0,52.7758,39.08171,16.0,13.694089999999996
184,2016-04-04,Pennsylvania,44.50972257437165,42.980554851256684,43.552241866695276,43.96153656557263,1.5291677231149643,-0.40929469887735587
185,2016-04-04,U.S.,44.9,33.2,43.11699,34.58195,11.699999999999996,8.535040000000002
186,2016-04-05,New York,53.0,37.0,52.7758,39.08171,16.0,13.694089999999996
187,2016-04-05,Pennsylvania,44.0,44.0,43.38333,45.51512,0.0,-2.1317900000000023
188,2016-04-05,U.S.,45.2,33.4,43.44192,34.78776,11.800000000000004,8.654160000000005
189,2016-04-06,New York,53.0,37.0,52.7758,39.08171,16.0,13.694089999999996
190,2016-04-06,Pennsylvania,44.0,44.0,43.38333,45.51512,0.0,-2.1317900000000023
191,2016-04-06,U.S.,47.6,31.2,45.87133,32.59159,16.400000000000002,13.279740000000004
192,2016-04-07,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
193,2016-04-07,New York,53.0,37.0,52.7758,39.08171,16.0,13.694089999999996
194,2016-04-07,Pennsylvania,44.0,44.0,43.38333,45.51512,0.0,-2.1317900000000023
195,2016-04-07,U.S.,48.2,31.9,46.4984,33.29653,16.300000000000004,13.20187
196,2016-04-08,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
197,2016-04-08,U.S.,47.1,34.1,45.42861,35.50021,13.0,9.928399999999996
198,2016-04-09,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
199,2016-04-09,U.S.,46.1,34.2,44.46043,35.60252,11.899999999999999,8.857910000000004
200,2016-04-10,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
201,2016-04-10,U.S.,46.3,35.2,44.68481,36.60667,11.099999999999994,8.078139999999998
202,2016-04-11,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
203,2016-04-11,U.S.,45.4,36.2,43.81641,37.60773,9.199999999999996,6.208680000000001
204,2016-04-12,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
205,2016-04-12,U.S.,45.5,35.7,43.94471,37.10814,9.799999999999997,6.836570000000002
206,2016-04-13,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
207,2016-04-13,U.S.,46.4,33.6,44.87462,35.00547,12.799999999999997,9.869149999999998
208,2016-04-14,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
209,2016-04-14,U.S.,45.7,34.0,44.20901,35.40578,11.700000000000003,8.80323
210,2016-04-15,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
211,2016-04-15,U.S.,45.2,34.4,43.74332,35.80647,10.800000000000004,7.93685
212,2016-04-16,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
213,2016-04-16,U.S.,46.6,33.1,45.17962,34.5071,13.5,10.672519999999999
214,2016-04-17,New Hampshire,50.0,31.0,47.53072,33.80664,19.0,13.72408
215,2016-04-17,U.S.,46.2,34.2,44.8227,35.60173,12.0,9.220969999999994
216,2016-04-18,U.S.,44.9,35.2,43.56321,36.59406,9.699999999999996,6.969149999999999
217,2016-04-19,U.S.,46.4,34.9,45.09613,36.29117,11.5,8.804960000000001
218,2016-04-20,U.S.,48.14009798325481,36.12560597412107,46.892589180521384,37.62936178595497,12.01449200913374,9.263227394566414
219,2016-04-21,U.S.,47.07579835878983,36.91931806298507,45.85369513680416,38.41938674575476,10.15648029580476,7.434308391049408
220,2016-04-22,U.S.,46.84215325016308,37.477466745614336,45.64523345796511,38.973310675373924,9.364686504548738,6.671922782591196
221,2016-04-23,North Carolina,49.0,40.0,51.04456,44.73597,9.0,6.308589999999995
222,2016-04-23,U.S.,46.556176840060374,37.58859706559851,45.383800470665484,39.08267338040862,8.96757977446186,6.301127090256859
223,2016-04-24,North Carolina,49.0,40.0,51.04456,44.73597,9.0,6.308589999999995
224,2016-04-24,U.S.,46.88338125719345,37.719960159204454,45.735018551329865,39.21345276926586,9.163421097988996,6.521565782064012
225,2016-04-25,North Carolina,49.0,40.0,51.04456,44.73597,9.0,6.308589999999995
226,2016-04-25,U.S.,44.5,37.8,43.45076,39.16129,6.700000000000003,4.2894700000000014
227,2016-04-26,U.S.,45.2,38.0,44.19608,39.36003,7.200000000000003,4.83605
228,2016-04-27,U.S.,44.9,37.8,43.93458,39.15773,7.100000000000001,4.776849999999996
229,2016-04-28,U.S.,47.0,36.8,46.0743,38.15662,10.200000000000003,7.917680000000004
230,2016-04-29,U.S.,46.8,36.8,45.91719,38.15388,10.0,7.763309999999997
231,2016-04-30,U.S.,48.1,35.4,47.25974,36.75472,12.700000000000003,10.505020000000002
232,2016-05-01,U.S.,46.3,36.3,45.50227,37.65554,10.0,7.846730000000001
233,2016-05-02,Massachusetts,55.0,31.0,54.40748,33.18678,24.0,21.2207
234,2016-05-02,U.S.,45.0,36.7,44.24443,38.05721,8.299999999999997,6.1872200000000035
235,2016-05-03,Massachusetts,55.0,31.0,54.40748,33.18678,24.0,21.2207
236,2016-05-03,U.S.,44.6,36.6,43.8859,37.95777,8.0,5.928130000000003
237,2016-05-04,Massachusetts,55.0,31.0,54.40748,33.18678,24.0,21.2207
238,2016-05-04,U.S.,42.2,37.6,41.52813,38.95703,4.600000000000001,2.571099999999994
239,2016-05-05,Massachusetts,55.0,31.0,54.40748,33.18678,24.0,21.2207
240,2016-05-05,U.S.,39.9,40.2,39.26959,41.56127,-0.30000000000000426,-2.2916799999999995
241,2016-05-06,U.S.,41.2,40.1,40.60755,41.46533,1.1000000000000014,-0.8577799999999982
242,2016-05-07,U.S.,43.3,38.2,42.74415,39.57487,5.099999999999994,3.1692800000000005
243,2016-05-08,U.S.,40.5,40.4,39.98479,41.78611,0.10000000000000142,-1.801320000000004
244,2016-05-09,U.S.,42.6,39.9,42.12742,41.29073,2.700000000000003,0.8366899999999973
245,2016-05-10,U.S.,43.2,38.8,42.76532,40.20272,4.400000000000006,2.5626000000000033
246,2016-05-11,U.S.,43.9,37.7,43.50716,39.11189,6.199999999999996,4.3952699999999965
247,2016-05-12,New Hampshire,44.0,42.0,43.39385,43.75301,2.0,-0.3591600000000028
248,2016-05-12,U.S.,42.9,38.6,42.54914,40.02052,4.299999999999997,2.5286200000000036
249,2016-05-13,California,49.0,39.0,51.28892,39.68224,10.0,11.606679999999997
250,2016-05-13,New Hampshire,44.0,42.0,43.39385,43.75301,2.0,-0.3591600000000028
251,2016-05-13,New Mexico,41.0,33.0,42.69776,36.6361,8.0,6.061660000000003
252,2016-05-13,U.S.,43.3,38.3,42.9893,39.72064,5.0,3.268659999999997
253,2016-05-14,California,49.0,39.0,51.28892,39.68224,10.0,11.606679999999997
254,2016-05-14,New Hampshire,44.0,42.0,43.39385,43.75301,2.0,-0.3591600000000028
255,2016-05-14,New Mexico,41.0,33.0,42.69776,36.6361,8.0,6.061660000000003
256,2016-05-14,U.S.,42.9,37.0,42.63124,38.42083,5.899999999999999,4.210409999999996
257,2016-05-15,California,49.0,39.0,51.28892,39.68224,10.0,11.606679999999997
258,2016-05-15,New Hampshire,44.0,42.0,43.39385,43.75301,2.0,-0.3591600000000028
259,2016-05-15,New Mexico,41.0,33.0,42.69776,36.6361,8.0,6.061660000000003
260,2016-05-15,U.S.,42.2,37.3,41.96929,38.71925,4.900000000000006,3.2500399999999985
261,2016-05-16,California,49.0,39.0,51.28892,39.68224,10.0,11.606679999999997
262,2016-05-16,U.S.,41.7,37.9,41.51003,39.30696,3.8000000000000043,2.203070000000004
263,2016-05-17,California,49.0,39.0,51.28892,39.68224,10.0,11.606679999999997
264,2016-05-17,U.S.,42.8,36.8,42.65186,38.19473,6.0,4.457129999999999
265,2016-05-18,California,49.0,39.0,51.28892,39.68224,10.0,11.606679999999997
266,2016-05-18,U.S.,42.6,36.6,42.48125,38.00478,6.0,4.476470000000006
267,2016-05-19,California,51.73840688846064,36.655766448505695,52.17545023183972,37.70717576217142,15.08264043995494,14.468274469668309
268,2016-05-19,U.S.,41.8,37.7,41.72217,39.09983,4.099999999999994,2.6223400000000012
269,2016-05-20,California,51.73840688846064,36.655766448505695,52.17545023183972,37.70717576217142,15.08264043995494,14.468274469668309
270,2016-05-20,U.S.,42.3,37.2,42.26061,38.59251,5.099999999999994,3.6681000000000026
271,2016-05-21,California,51.73840688846064,36.655766448505695,52.17545023183972,37.70717576217142,15.08264043995494,14.468274469668309
272,2016-05-21,North Carolina,36.0,39.0,38.77944,43.43229,-3.0,-4.652850000000001
273,2016-05-21,U.S.,43.8,37.3,43.7777,38.71445,6.5,5.063250000000004
274,2016-05-22,California,51.73840688846064,36.655766448505695,52.17545023183972,37.70717576217142,15.08264043995494,14.468274469668309
275,2016-05-22,North Carolina,36.0,39.0,38.77944,43.43229,-3.0,-4.652850000000001
276,2016-05-22,U.S.,42.1,38.5,42.09553,39.93351,3.6000000000000014,2.1620199999999983
277,2016-05-23,California,54.0,33.0,54.42379,35.00753,21.0,19.416259999999994
278,2016-05-23,North Carolina,36.0,39.0,38.77944,43.43229,-3.0,-4.652850000000001
279,2016-05-23,U.S.,43.2,37.3,43.21848,38.7386,5.900000000000006,4.479880000000001
280,2016-05-24,California,54.0,33.0,54.42379,35.00753,21.0,19.416259999999994
281,2016-05-24,U.S.,44.4,35.9,44.43873,37.34936,8.5,7.089370000000002
282,2016-05-25,California,54.0,33.0,54.42379,35.00753,21.0,19.416259999999994
283,2016-05-25,New Hampshire,44.0,44.0,43.61693,44.24414,0.0,-0.627209999999998
284,2016-05-25,U.S.,45.8,35.5,45.86052,36.96459,10.299999999999997,8.89593
285,2016-05-26,California,53.51721368681694,33.48278631318306,53.8220403113855,35.17557825989276,20.034427373633875,18.646462051492737
286,2016-05-26,New Hampshire,44.0,44.0,43.61693,44.24414,0.0,-0.627209999999998
287,2016-05-26,U.S.,46.1,35.4,46.17604,36.88164,10.700000000000003,9.294400000000003
288,2016-05-27,California,53.51721368681694,33.48278631318306,53.8220403113855,35.17557825989276,20.034427373633875,18.646462051492737
289,2016-05-27,New Hampshire,44.0,44.0,43.61693,44.24414,0.0,-0.627209999999998
290,2016-05-27,U.S.,46.0,34.8,46.09309,36.29812,11.200000000000003,9.79497
291,2016-05-28,California,53.51721368681694,33.48278631318306,53.8220403113855,35.17557825989276,20.034427373633875,18.646462051492737
292,2016-05-28,New Hampshire,44.0,44.0,43.61693,44.24414,0.0,-0.627209999999998
293,2016-05-28,U.S.,45.9,35.8,46.0058,37.31475,10.100000000000001,8.691050000000004
