state,startdate,enddate,pollster,grade,samplesize,population,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump,samplesizeadj
Florida,2016-11-03,2016-11-06,Quinnipiac University,A-,884.0,lv,46.0,45.0,46.44315,43.93999,884.0
North Carolina,2016-11-03,2016-11-06,Quinnipiac University,A-,870.0,lv,47.0,45.0,47.43742,43.93745,870.0
Virginia,2016-10-27,2016-10-30,ABC News/Washington Post,A+,1024.0,lv,48.0,42.0,46.39152,41.58078,1024.0
U.S.,2016-11-01,2016-11-07,USC Dornsife/LA Times,,2972.0,lv,43.61,46.84,45.32156,43.38579,2972.0
Georgia,2016-11-03,2016-11-06,Gravis Marketing,B-,2002.0,rv,44.0,48.0,43.83075,47.32734,2002.0
Oregon,2016-11-03,2016-11-06,Gravis Marketing,B-,1963.0,rv,44.0,40.0,43.84735,39.33472,1963.0
U.S.,2016-11-01,2016-11-05,"RKM Research and Communications, Inc.",B+,1009.0,lv,47.6,44.4,47.63973,43.1608,1009.0
Ohio,2016-11-03,2016-11-06,Gravis Marketing,B-,1781.0,rv,42.0,48.0,41.84073,47.33178,1781.0
South Carolina,2016-11-03,2016-11-06,Gravis Marketing,B-,1751.0,rv,43.0,48.0,42.83107,47.32748,1751.0
Ohio,2016-11-02,2016-11-04,YouGov,B,1189.0,lv,45.0,46.0,44.93624,45.09646,1189.0
Virginia,2016-11-01,2016-11-02,Remington,,3076.0,lv,46.0,44.0,45.27399,41.91459,3076.0
New York,2016-11-03,2016-11-06,Gravis Marketing,B-,1681.0,rv,55.0,36.0,54.84194,35.33231,1681.0
Michigan,2016-11-03,2016-11-04,Public Policy Polling,B+,957.0,lv,46.0,41.0,45.44545,40.33095,957.0
North Carolina,2016-10-31,2016-11-01,Public Policy Polling,B+,1169.0,lv,49.0,47.0,47.90348,45.94813,1169.0
Wisconsin,2016-11-01,2016-11-02,Remington,,2720.0,lv,49.0,41.0,48.22713,38.86464,2720.0
Pennsylvania,2016-11-01,2016-11-02,Remington,,2683.0,lv,46.0,45.0,45.30896,42.94988,2683.0
Virginia,2016-11-01,2016-11-06,Christopher Newport University,B-,1193.0,lv,48.0,42.0,48.93321,43.6221,1193.0
North Carolina,2016-11-01,2016-11-02,Remington,,2596.0,lv,45.0,48.0,44.39882,46.0411,2596.0
Ohio,2016-11-01,2016-11-02,Remington,,2557.0,lv,44.0,45.0,43.03321,42.67245,2557.0
Georgia,2016-11-03,2016-11-05,YouGov,B,995.0,lv,43.0,49.0,43.80799,48.99024,995.0
Missouri,2016-10-31,2016-11-01,Public Policy Polling,B+,1083.0,lv,37.0,50.0,36.55124,49.59908,1083.0
New Hampshire,2016-11-04,2016-11-05,Emerson College,B,1000.0,lv,45.4,43.8,45.37532,41.71392,1000.0
Arizona,2016-11-03,2016-11-06,Gravis Marketing,B-,1453.0,rv,43.0,45.0,42.84287,44.33273,1453.0
U.S.,2016-10-31,2016-11-06,CVOTER International,C+,1625.0,lv,48.91,46.13,47.01806,42.04561,1625.0
Florida,2016-11-01,2016-11-02,Remington,,2352.0,lv,45.0,48.0,44.85722,46.49677,2352.0
Pennsylvania,2016-10-31,2016-11-01,Public Policy Polling,B+,1050.0,lv,48.0,44.0,46.81404,42.86101,1050.0
U.S.,2016-11-04,2016-11-05,Morning Consult,,1482.0,lv,45.0,42.0,46.2831,43.27167,1482.0
Pennsylvania,2016-11-03,2016-11-05,YouGov,B,931.0,lv,45.0,43.0,45.82043,42.99602,931.0
Nevada,2016-11-03,2016-11-06,Gravis Marketing,B-,1158.0,lv,45.0,43.0,43.52706,40.25877,1158.0
Colorado,2016-11-03,2016-11-06,Gravis Marketing,B-,1378.0,rv,44.0,43.0,43.84619,42.3342,1378.0
Florida,2016-11-02,2016-11-04,YouGov,B,1188.0,rv,45.0,45.0,47.07455,46.99468,1188.0
U.S.,2016-10-31,2016-11-06,SurveyMonkey,C-,70194.0,lv,47.0,41.0,45.65592,40.37888,5000.0
Wisconsin,2016-11-01,2016-11-02,Clarity Campaign Labs,B,1129.0,lv,47.0,43.0,47.83631,42.94844,1129.0
Ohio,2016-11-04,2016-11-05,Emerson College,B,900.0,lv,38.9,45.6,38.85865,43.50651,900.0
New Hampshire,2016-11-03,2016-11-06,University of New Hampshire,B+,692.0,lv,49.0,38.0,48.71549,39.2107,692.0
Pennsylvania,2016-11-01,2016-11-04,Clarity Campaign Labs,B,1033.0,lv,47.0,43.0,47.77524,42.83232,1033.0
U.S.,2016-10-20,2016-10-25,Pew Research Center,B+,2120.0,rv,46.0,40.0,45.82386,42.70839,2120.0
Florida,2016-10-20,2016-10-24,SurveyUSA,A,1251.0,lv,48.0,45.0,46.74555,45.86589,1251.0
California,2016-10-25,2016-10-31,YouGov,B,1498.0,lv,53.0,33.0,53.93975,34.06845,1498.0
U.S.,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,45.0,43.0,45.56041,43.13745,1500.0
Colorado,2016-11-01,2016-11-02,Remington,,1863.0,lv,42.0,41.0,40.24119,37.87783,1863.0
New York,2016-11-03,2016-11-04,Siena College,A,617.0,lv,51.0,34.0,51.30942,35.12664,617.0
Nevada,2016-11-01,2016-11-02,Remington,,1793.0,lv,45.0,46.0,43.87231,43.51139,1793.0
Pennsylvania,2016-11-03,2016-11-06,Gravis Marketing,B-,1220.0,rv,46.0,40.0,45.83721,39.33021,1220.0
Arizona,2016-10-30,2016-11-01,Marist College,A,719.0,lv,40.0,45.0,38.85863,45.72376,719.0
Missouri,2016-11-01,2016-11-02,Clarity Campaign Labs,B,1036.0,lv,38.0,54.0,37.65693,52.77196,1036.0
Wisconsin,2016-11-03,2016-11-06,Gravis Marketing,B-,1184.0,rv,47.0,44.0,46.84436,43.33339,1184.0
Washington,2016-10-31,2016-11-02,SurveyUSA,A,681.0,lv,50.0,38.0,48.87802,36.95385,681.0
Virginia,2016-11-01,2016-11-04,Gravis Marketing,B-,1362.0,rv,47.0,42.0,46.97759,41.41807,1362.0
Wisconsin,2016-10-31,2016-11-01,Public Policy Polling,B+,891.0,lv,48.0,41.0,46.73323,39.78602,891.0
California,2016-10-22,2016-10-30,Greenberg Quinlan Rosner/American Viewpoint,B+,1382.0,lv,54.0,30.0,54.28659,31.63001,1382.0
Georgia,2016-10-30,2016-11-01,Marist College,A,707.0,lv,44.0,45.0,42.81871,45.65459,707.0
California,2016-10-28,2016-10-31,SurveyUSA,A,747.0,lv,56.0,35.0,54.86451,34.27885,747.0
Florida,2016-11-01,2016-11-07,SurveyMonkey,C-,4092.0,lv,47.0,45.0,45.5919,44.32744,4092.0
Texas,2016-10-30,2016-11-01,Marist College,A,679.0,lv,40.0,49.0,38.84342,49.69741,679.0
Missouri,2016-10-31,2016-11-01,Remington,,1722.0,lv,39.0,52.0,39.02343,50.77483,1722.0
Arizona,2016-10-29,2016-10-31,Saguaro Strategies,,2229.0,lv,45.0,44.0,43.5845,44.02861,2229.0
Utah,2016-11-03,2016-11-05,YouGov,B,762.0,lv,23.0,40.0,23.83396,40.0023,762.0
Colorado,2016-11-03,2016-11-04,Public Policy Polling,B+,704.0,lv,48.0,43.0,47.45403,42.33493,704.0
Virginia,2016-11-02,2016-11-06,Hampton University,B,802.0,lv,45.0,41.0,46.01075,40.15596,802.0
Utah,2016-10-31,2016-11-02,Emerson College,B,1000.0,lv,19.6,39.8,19.75684,38.0144,1000.0
North Carolina,2016-11-01,2016-11-07,SurveyMonkey,C-,3126.0,lv,48.0,41.0,46.58087,40.32232,3126.0
Texas,2016-11-01,2016-11-07,SurveyMonkey,C-,3009.0,lv,43.0,46.0,41.58838,45.3258,3009.0
Michigan,2016-11-01,2016-11-07,SurveyMonkey,C-,3145.0,lv,44.0,42.0,42.5951,41.32892,3145.0
North Carolina,2016-11-01,2016-11-04,Gravis Marketing,B-,1250.0,rv,46.0,45.0,45.96828,44.41288,1250.0
Missouri,2016-11-04,2016-11-05,Emerson College,B,750.0,lv,40.5,46.5,40.45619,44.40542,750.0
U.S.,2016-11-04,2016-11-07,Insights West,,940.0,lv,49.0,45.0,49.14547,45.12675,940.0
Ohio,2016-11-01,2016-11-07,SurveyMonkey,C-,2860.0,lv,42.0,45.0,40.59315,44.32802,2860.0
Pennsylvania,2016-11-01,2016-11-07,SurveyMonkey,C-,2845.0,lv,46.0,43.0,44.58637,42.32487,2845.0
Pennsylvania,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,799.0,lv,48.0,44.0,47.34301,42.21297,799.0
Colorado,2016-11-01,2016-11-07,SurveyMonkey,C-,2777.0,lv,43.0,40.0,41.60367,39.3329,2777.0
New Mexico,2016-11-01,2016-11-02,Gravis Marketing,B-,1327.0,rv,45.0,37.0,45.03643,36.53281,1327.0
California,2016-11-01,2016-11-07,SurveyMonkey,C-,2712.0,lv,56.0,31.0,54.59576,30.32923,2712.0
Nevada,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,790.0,lv,43.0,49.0,42.3558,47.24366,790.0
Arizona,2016-11-01,2016-11-07,SurveyMonkey,C-,2609.0,lv,45.0,42.0,43.59727,41.32993,2609.0
Georgia,2016-11-06,2016-11-06,Trafalgar Group,C,1250.0,lv,45.11,51.58,44.73904,48.6823,1250.0
Arizona,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,769.0,lv,44.0,49.0,43.36176,47.25795,769.0
New Hampshire,2016-10-31,2016-11-01,Public Policy Polling,B+,781.0,lv,48.0,43.0,45.84364,40.90704,781.0
Georgia,2016-11-01,2016-11-07,SurveyMonkey,C-,2419.0,lv,45.0,45.0,43.57392,44.31909,2419.0
Michigan,2016-11-06,2016-11-06,Trafalgar Group,C,1200.0,lv,46.82,48.52,46.44904,45.6223,1200.0
Florida,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,773.0,lv,49.0,47.0,48.35252,45.23579,773.0
U.S.,2016-10-20,2016-11-01,RAND (American Life Panel),B-,2269.0,lv,43.7,34.6,43.13676,38.24491,2269.0
Utah,2016-10-30,2016-10-31,Gravis Marketing,B-,1424.0,rv,29.0,35.0,29.04086,34.78405,1424.0
Wisconsin,2016-11-01,2016-11-07,SurveyMonkey,C-,2246.0,lv,44.0,42.0,42.60015,41.33127,2246.0
Virginia,2016-11-01,2016-11-07,SurveyMonkey,C-,2183.0,lv,49.0,41.0,47.58769,40.32549,2183.0
Florida,2016-11-01,2016-11-02,Gravis Marketing,B-,1220.0,rv,46.0,45.0,46.02363,44.52199,1220.0
New York,2016-11-01,2016-11-07,SurveyMonkey,C-,2208.0,lv,57.0,32.0,55.59548,31.3291,2208.0
North Carolina,2016-10-28,2016-10-31,SurveyUSA,A,659.0,lv,44.0,51.0,42.12159,49.50006,659.0
Michigan,2016-11-01,2016-11-04,Gravis Marketing,B-,1079.0,rv,46.0,41.0,45.98772,40.42371,1079.0
Florida,2016-11-06,2016-11-06,Trafalgar Group,C,1100.0,lv,46.13,49.72,45.75904,46.8223,1100.0
North Carolina,2016-10-25,2016-10-26,Marist College,A,780.0,lv,47.0,41.0,45.80774,42.65965,780.0
Florida,2016-10-25,2016-10-27,Siena College,A,815.0,lv,42.0,46.0,42.40145,48.60084,815.0
Utah,2016-11-03,2016-11-05,Trafalgar Group,C,1350.0,lv,29.52,39.95,29.32624,37.13456,1350.0
Florida,2016-10-25,2016-10-26,Marist College,A,779.0,lv,45.0,44.0,43.825,45.76098,779.0
Illinois,2016-11-01,2016-11-07,SurveyMonkey,C-,1823.0,lv,52.0,35.0,50.59141,34.32721,1823.0
Iowa,2016-11-01,2016-11-02,RABA Research,C+,1076.0,lv,41.0,44.0,41.77092,45.07573,1076.0
Pennsylvania,2016-11-03,2016-11-05,Trafalgar Group,C,1300.0,lv,46.51,48.43,46.30272,45.60828,1300.0
Iowa,2016-11-01,2016-11-07,SurveyMonkey,C-,1781.0,lv,38.0,47.0,36.60362,46.33288,1781.0
Indiana,2016-11-01,2016-11-07,SurveyMonkey,C-,1700.0,lv,35.0,52.0,33.58643,51.3249,1700.0
South Carolina,2016-11-01,2016-11-07,SurveyMonkey,C-,1698.0,lv,43.0,47.0,41.57453,46.31938,1698.0
Florida,2016-10-21,2016-10-24,Selzer & Company,A+,805.0,lv,43.0,45.0,43.30724,46.68426,805.0
U.S.,2016-10-20,2016-10-24,GfK Group,B+,1212.0,lv,51.0,37.0,50.28058,39.98632,1212.0
Nevada,2016-10-31,2016-11-01,Public Policy Polling,B+,688.0,lv,48.0,45.0,46.37794,43.42805,688.0
Michigan,2016-11-01,2016-11-03,EPIC-MRA,A-,600.0,lv,42.0,38.0,43.47472,39.26165,600.0
Oregon,2016-11-01,2016-11-07,SurveyMonkey,C-,1595.0,lv,50.0,35.0,48.6059,34.33394,1595.0
Pennsylvania,2016-10-23,2016-10-25,Siena College,A,824.0,lv,46.0,39.0,46.3271,41.95797,824.0
Nevada,2016-11-04,2016-11-05,Emerson College,B,600.0,lv,46.8,45.6,46.75898,43.50666,600.0
Missouri,2016-10-27,2016-10-28,BK Strategies,,1698.0,lv,39.0,53.0,38.35085,51.20917,1698.0
Utah,2016-11-01,2016-11-07,SurveyMonkey,C-,1479.0,lv,31.0,34.0,29.59989,33.33115,1479.0
New Hampshire,2016-11-01,2016-11-02,Gravis Marketing,B-,1001.0,rv,41.0,43.0,41.07718,42.56727,1001.0
California,2016-10-14,2016-10-23,Public Policy Institute of California,A,1024.0,lv,54.0,28.0,56.30498,29.53212,1024.0
Ohio,2016-10-27,2016-11-05,Columbus Dispatch,C+,1151.0,lv,48.0,47.0,46.07078,45.69285,1151.0
Tennessee,2016-11-01,2016-11-07,SurveyMonkey,C-,1433.0,lv,41.0,49.0,39.5886,48.32591,1433.0
Washington,2016-11-01,2016-11-07,SurveyMonkey,C-,1451.0,lv,51.0,33.0,49.60812,32.33496,1451.0
Colorado,2016-10-26,2016-10-28,YouGov,B,997.0,lv,42.0,39.0,42.94938,40.34512,997.0
Arizona,2016-10-26,2016-10-28,YouGov,B,994.0,lv,42.0,44.0,42.93903,45.29469,994.0
Iowa,2016-11-01,2016-11-03,Emerson College,B,700.0,lv,41.0,44.0,41.16034,42.11262,700.0
North Carolina,2016-10-26,2016-10-28,YouGov,B,992.0,lv,48.0,45.0,48.91251,46.16556,992.0
Connecticut,2016-11-01,2016-11-07,SurveyMonkey,C-,1387.0,lv,52.0,36.0,50.60727,35.33457,1387.0
Massachusetts,2016-11-01,2016-11-07,SurveyMonkey,C-,1378.0,lv,56.0,30.0,54.62819,29.34428,1378.0
New Jersey,2016-11-01,2016-11-07,SurveyMonkey,C-,1377.0,lv,52.0,37.0,50.5984,36.33046,1377.0
Colorado,2016-11-02,2016-11-03,"Keating Research, Inc.",B,605.0,lv,43.0,38.0,42.73429,39.28642,605.0
Missouri,2016-11-01,2016-11-07,SurveyMonkey,C-,1368.0,lv,40.0,48.0,38.58843,47.32583,1368.0
Kansas,2016-10-26,2016-10-30,SurveyUSA,A,624.0,lv,38.0,49.0,36.85588,48.73752,624.0
Kentucky,2016-11-01,2016-11-07,SurveyMonkey,C-,1315.0,lv,35.0,54.0,33.58942,53.32629,1315.0
Kansas,2016-11-01,2016-11-07,SurveyMonkey,C-,1311.0,lv,36.0,49.0,34.59949,48.33097,1311.0
U.S.,2016-11-01,2016-11-03,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1107.0,lv,45.5,44.0,46.70731,44.14856,1107.0
Minnesota,2016-11-01,2016-11-07,SurveyMonkey,C-,1292.0,lv,46.0,39.0,44.60134,38.33182,1292.0
Florida,2016-11-05,2016-11-06,Opinion Savvy/InsiderAdvantage,C-,843.0,lv,48.4,46.4,47.37976,45.68637,843.0
Oklahoma,2016-11-01,2016-11-07,SurveyMonkey,C-,1271.0,lv,32.0,57.0,30.58601,56.32471,1271.0
New Mexico,2016-11-01,2016-11-03,"Research & Polling, Inc.",A,504.0,lv,45.0,40.0,46.39454,40.54576,504.0
Nevada,2016-11-01,2016-11-04,Trafalgar Group,C,1100.0,lv,45.01,49.61,44.87275,46.84256,1100.0
Texas,2016-10-31,2016-11-02,Emerson College,B,700.0,lv,34.5,49.2,34.64824,47.41524,700.0
Pennsylvania,2016-10-27,2016-11-01,Quinnipiac University,A-,612.0,lv,48.0,43.0,48.63686,42.57669,612.0
Maryland,2016-11-01,2016-11-07,SurveyMonkey,C-,1216.0,lv,59.0,28.0,57.58702,27.32517,1216.0
Nevada,2016-11-01,2016-11-07,SurveyMonkey,C-,1207.0,lv,45.0,43.0,43.5938,42.32832,1207.0
New Hampshire,2016-10-28,2016-11-02,University of Massachusetts Lowell,B,695.0,lv,44.0,44.0,44.63114,44.22107,695.0
Arizona,2016-10-28,2016-11-01,The Times-Picayune/Lucid,,1113.0,lv,41.0,42.0,41.43996,44.98566,1113.0
Ohio,2016-10-31,2016-11-03,TargetSmart/William & Mary,,844.0,lv,40.0,43.0,40.30606,44.64392,844.0
Colorado,2016-10-31,2016-11-03,Trafalgar Group,C,1150.0,lv,44.77,44.33,44.68932,41.67779,1150.0
Indiana,2016-11-01,2016-11-03,Public Opinion Strategies,B,600.0,lv,37.0,48.0,37.37132,49.48534,600.0
Alabama,2016-11-01,2016-11-07,SurveyMonkey,C-,1131.0,lv,36.0,55.0,34.57085,54.31767,1131.0
Ohio,2016-10-27,2016-11-01,Quinnipiac University,A-,589.0,lv,41.0,46.0,41.64853,45.60469,589.0
Virginia,2016-10-28,2016-10-30,Emerson College,B,800.0,lv,49.0,45.0,49.1487,43.76307,800.0
Pennsylvania,2016-10-31,2016-11-01,"Susquehanna Polling & Research, Inc.",B-,681.0,lv,45.0,43.0,45.6835,43.54456,681.0
Colorado,2016-10-28,2016-10-31,Emerson College,B,750.0,lv,44.0,41.0,44.18147,39.61434,750.0
New Hampshire,2016-10-20,2016-10-24,Marist College,A,768.0,lv,45.0,36.0,43.7742,38.96218,768.0
New Jersey,2016-10-27,2016-11-02,Stockton College,B,678.0,lv,51.0,40.0,50.7404,39.86985,678.0
Nebraska,2016-11-01,2016-11-07,SurveyMonkey,C-,988.0,lv,35.0,52.0,33.59756,51.33007,988.0
Louisiana,2016-11-01,2016-11-07,SurveyMonkey,C-,982.0,lv,38.0,52.0,36.57474,51.31947,982.0
Maine,2016-10-28,2016-10-30,Emerson College,B,750.0,lv,46.0,42.0,46.20038,40.92931,750.0
Iowa,2016-10-20,2016-10-26,Quinnipiac University,A-,791.0,lv,44.0,44.0,44.54643,45.2029,791.0
Colorado,2016-10-28,2016-11-01,The Times-Picayune/Lucid,,972.0,lv,44.0,37.0,44.45097,40.01209,972.0
Virginia,2016-10-23,2016-10-30,Winthrop University,,712.0,lv,44.0,39.0,44.85999,41.12677,712.0
Pennsylvania,2016-10-26,2016-10-30,Franklin & Marshall College,B+,652.0,lv,49.0,38.0,48.71268,40.4375,652.0
Arizona,2016-10-28,2016-10-31,Emerson College,B,700.0,lv,43.0,47.0,43.17046,45.58791,700.0
Minnesota,2016-10-22,2016-10-26,SurveyUSA,A,656.0,lv,49.0,39.0,47.77468,39.65068,656.0
Arkansas,2016-11-01,2016-11-07,SurveyMonkey,C-,930.0,lv,32.0,56.0,30.58876,55.32598,930.0
Texas,2016-10-27,2016-10-29,Dixie Strategies,C+,980.0,lv,39.39,51.53,40.29257,51.67585,980.0
Alaska,2016-11-03,2016-11-06,Gravis Marketing,B-,617.0,rv,41.0,44.0,40.84795,43.33498,617.0
Virginia,2016-10-20,2016-10-26,Quinnipiac University,A-,749.0,lv,50.0,38.0,50.5296,39.00021,749.0
Nevada,2016-10-28,2016-11-01,The Times-Picayune/Lucid,,892.0,lv,45.0,38.0,45.434,40.97136,892.0
Nevada,2016-10-20,2016-10-24,Marist College,A,707.0,lv,43.0,43.0,41.74095,45.53403,707.0
Texas,2016-10-21,2016-10-22,YouGov,B,1031.0,lv,43.0,46.0,43.83179,48.17364,1031.0
Florida,2016-10-20,2016-10-25,University of North Florida,B+,819.0,lv,43.0,39.0,44.44585,42.81216,819.0
Arizona,2016-11-04,2016-11-06,Data Orbital,,550.0,lv,44.0,47.0,44.59101,46.81411,550.0
Kentucky,2016-10-26,2016-10-28,Cygnal Political,,811.0,lv,32.0,56.0,32.03058,55.3284,811.0
U.S.,2016-10-20,2016-10-24,Suffolk University,B+,1000.0,lv,47.4,37.6,47.48859,39.92883,1000.0
Florida,2016-10-25,2016-10-26,Public Policy Polling,B+,742.0,lv,48.0,44.0,47.06064,44.3281,742.0
New Hampshire,2016-10-29,2016-11-01,MassINC Polling Group,A-,500.0,lv,39.0,40.0,39.39812,40.77245,500.0
Utah,2016-10-30,2016-11-02,Monmouth University,A+,402.0,lv,31.0,37.0,30.06568,36.70382,402.0
Georgia,2016-10-28,2016-10-31,Emerson College,B,650.0,lv,42.0,51.0,42.13029,49.49152,650.0
North Carolina,2016-10-27,2016-11-01,Trafalgar Group,C,1150.0,lv,44.16,49.13,44.06113,46.8853,1150.0
Pennsylvania,2016-10-30,2016-11-04,Muhlenberg College,A,405.0,lv,44.0,40.0,45.37725,41.55843,405.0
U.S.,2016-10-17,2016-10-18,Quinnipiac University,A-,1007.0,lv,47.0,40.0,47.59504,41.77778,1007.0
Georgia,2016-10-25,2016-10-27,SurveyUSA,A,683.0,rv,42.0,49.0,42.11749,51.02676,683.0
Vermont,2016-10-24,2016-10-26,"Political Marketing International, Inc./Red Racing Horses",B-,1052.0,lv,52.0,26.0,51.28784,27.41402,1052.0
South Carolina,2016-10-30,2016-10-31,Starboard Communications,,600.0,lv,36.0,47.0,37.15811,47.01984,600.0
U.S.,2016-10-20,2016-10-21,Public Policy Polling,B+,990.0,lv,46.0,40.0,45.45713,41.71628,990.0
Maine,2016-11-01,2016-11-07,SurveyMonkey,C-,779.0,lv,46.0,38.0,44.61831,37.33969,779.0
New Hampshire,2016-10-31,2016-11-02,Suffolk University,B+,500.0,lv,41.8,42.2,42.04822,42.63172,500.0
Pennsylvania,2016-11-02,2016-11-03,Harper Polling,B-,504.0,lv,46.0,46.0,45.65549,45.67242,504.0
Michigan,2016-11-06,2016-11-06,Mitchell Research & Communications,D,1011.0,lv,47.0,41.0,45.66812,39.83537,1011.0
U.S.,2016-10-20,2016-10-23,CNN/Opinion Research Corp.,A-,779.0,lv,49.0,44.0,48.24186,43.85993,779.0
Idaho,2016-10-21,2016-10-23,Emerson College,B,1023.0,lv,23.0,52.0,21.03514,50.26709,1023.0
North Carolina,2016-10-23,2016-10-27,Elon University,B+,710.0,lv,42.0,41.2,42.4499,43.95295,710.0
New Mexico,2016-11-01,2016-11-07,SurveyMonkey,C-,749.0,lv,40.0,38.0,38.59988,37.33114,749.0
Michigan,2016-11-03,2016-11-03,Strategic National,,573.0,lv,44.0,44.0,44.44589,42.65931,573.0
Pennsylvania,2016-10-29,2016-11-01,Monmouth University,A+,403.0,lv,48.0,44.0,47.05881,43.84153,403.0
Utah,2016-10-29,2016-10-31,Rasmussen Reports/Pulse Opinion Research,C+,750.0,lv,31.0,42.0,31.67657,42.74799,750.0
New Hampshire,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,46.0,40.0,46.59223,40.15223,525.0
North Carolina,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,49.0,43.0,49.54782,43.13161,525.0
Pennsylvania,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,44.0,46.0,44.55332,46.13416,525.0
Ohio,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,44.0,43.0,44.5601,43.13731,525.0
Nevada,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,44.0,44.0,44.56076,44.13762,525.0
Georgia,2016-10-20,2016-10-26,Quinnipiac University,A-,707.0,lv,43.0,44.0,43.51506,44.82506,707.0
Mississippi,2016-11-01,2016-11-07,SurveyMonkey,C-,719.0,lv,42.0,50.0,40.56659,49.31569,719.0
U.S.,2016-10-14,2016-10-17,Selzer & Company,A+,1000.0,lv,47.0,38.0,47.42654,40.63767,1000.0
Florida,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,C+,525.0,lv,47.0,45.0,47.55885,45.13673,525.0
Georgia,2016-10-17,2016-10-20,Time/Abt SRBI,A-,839.0,lv,42.0,44.0,42.37531,46.98845,839.0
New Hampshire,2016-11-01,2016-11-07,SurveyMonkey,C-,696.0,lv,47.0,38.0,45.62528,37.34293,696.0
Missouri,2016-10-28,2016-10-31,Monmouth University,A+,405.0,lv,38.0,52.0,37.0641,52.04086,405.0
Iowa,2016-11-01,2016-11-03,Loras College,B-,500.0,lv,44.2,43.4,44.90779,44.60271,500.0
Maine,2016-10-20,2016-10-25,University of New Hampshire,B+,670.0,lv,48.0,37.0,47.81695,40.65277,670.0
New Hampshire,2016-10-31,2016-11-02,American Research Group,C+,600.0,lv,43.0,48.0,40.37428,44.45845,600.0
Virginia,2016-10-29,2016-11-01,Roanoke College,C+,654.0,lv,45.0,38.0,44.33289,40.2916,654.0
Missouri,2016-10-24,2016-10-26,"Mason-Dixon Polling & Research, Inc.",B+,625.0,lv,42.0,47.0,40.84165,48.47509,625.0
