pollster,state,population,day,weighted_clinton,weighted_trump,samplesize_total,c-minus-t
ABC News/Washington Post,U.S.,lv,2016-09-20,46.0,44.0,651.0,2.0
ABC News/Washington Post,U.S.,lv,2016-09-21,46.0,44.0,651.0,2.0
ABC News/Washington Post,U.S.,lv,2016-09-22,46.0,44.0,651.0,2.0
ABC News/Washington Post,U.S.,lv,2016-10-10,47.0,43.0,740.0,4.0
ABC News/Washington Post,U.S.,lv,2016-10-11,47.0,43.0,740.0,4.0
ABC News/Washington Post,U.S.,lv,2016-10-12,47.0,43.0,740.0,4.0
ABC News/Washington Post,U.S.,lv,2016-10-13,47.0,43.0,740.0,4.0
ABC News/Washington Post,U.S.,lv,2016-10-20,50.0,38.0,1155.0,12.0
ABC News/Washington Post,U.S.,lv,2016-10-21,49.50395803165194,38.992083936696105,2274.0,10.511874094955836
ABC News/Washington Post,U.S.,lv,2016-10-22,49.002922377939875,39.99415524412027,3409.0,9.008767133819603
ABC News/Washington Post,U.S.,lv,2016-10-23,48.754470183237764,40.986516111846285,4518.0,7.767954071391479
ABC News/Washington Post,U.S.,lv,2016-10-24,47.996793662648074,42.754489636587536,4511.0,5.242304026060538
ABC News/Washington Post,U.S.,lv,2016-10-25,47.24406781485435,44.00416059883748,4552.0,3.239907216016867
ABC News/Washington Post,U.S.,lv,2016-10-26,46.742276619280545,44.75400381942549,4582.0,1.9882727998550536
ABC News/Washington Post,U.S.,lv,2016-10-27,46.002185170441145,45.247575010426914,4601.0,0.7546101600142308
ABC News/Washington Post,U.S.,lv,2016-10-28,45.753330649113245,45.4991740003845,4635.0,0.25415664872874544
ABC News/Washington Post,U.S.,lv,2016-10-29,46.00422481230148,45.49879810172674,4642.0,0.5054267105747385
ABC News/Washington Post,U.S.,lv,2016-10-30,46.25359147632575,45.25019197956085,4628.0,1.0033994967648994
ABC News/Washington Post,U.S.,lv,2016-10-31,46.754668104943576,44.46562957873225,4919.0,2.2890385262113284
ABC News/Washington Post,U.S.,lv,2016-11-01,47.27961195191318,43.69649099115051,5422.0,3.5831209607626704
ABC News/Washington Post,U.S.,lv,2016-11-02,47.262030945524046,43.21656600900297,6192.0,4.045464936521078
ABC News/Washington Post,U.S.,lv,2016-11-03,47.241681317407675,43.0,7261.0,4.241681317407675
ABC News/Washington Post,U.S.,lv,2016-11-04,47.31055898321121,43.0,5842.0,4.310558983211209
ABC News/Washington Post,U.S.,lv,2016-11-05,47.0,43.0,4157.0,4.0
ABC News/Washington Post,U.S.,lv,2016-11-06,47.0,43.0,2220.0,4.0
ABC News/Washington Post,U.S.,rv,2015-12-10,50.0,44.0,851.0,6.0
ABC News/Washington Post,U.S.,rv,2015-12-11,50.0,44.0,851.0,6.0
ABC News/Washington Post,U.S.,rv,2015-12-12,50.0,44.0,851.0,6.0
ABC News/Washington Post,U.S.,rv,2015-12-13,50.0,44.0,851.0,6.0
ABC News/Washington Post,U.S.,rv,2016-03-03,50.0,41.0,864.0,9.0
ABC News/Washington Post,U.S.,rv,2016-03-04,50.0,41.0,864.0,9.0
ABC News/Washington Post,U.S.,rv,2016-03-05,50.0,41.0,864.0,9.0
ABC News/Washington Post,U.S.,rv,2016-03-06,50.0,41.0,864.0,9.0
ABC News/Washington Post,U.S.,rv,2016-05-16,44.0,46.0,829.0,-2.0
ABC News/Washington Post,U.S.,rv,2016-05-17,44.0,46.0,829.0,-2.0
ABC News/Washington Post,U.S.,rv,2016-05-18,44.0,46.0,829.0,-2.0
ABC News/Washington Post,U.S.,rv,2016-05-19,44.0,46.0,829.0,-2.0
ABC News/Washington Post,Virginia,lv,2016-08-11,46.0,39.0,707.0,7.0
ABC News/Washington Post,Virginia,lv,2016-08-12,46.0,39.0,707.0,7.0
ABC News/Washington Post,Virginia,lv,2016-08-13,46.0,39.0,707.0,7.0
ABC News/Washington Post,Virginia,lv,2016-08-14,46.0,39.0,707.0,7.0
ABC News/Washington Post,Virginia,lv,2016-10-27,48.0,42.0,1024.0,6.0
ABC News/Washington Post,Virginia,lv,2016-10-28,48.0,42.0,1024.0,6.0
ABC News/Washington Post,Virginia,lv,2016-10-29,48.0,42.0,1024.0,6.0
ABC News/Washington Post,Virginia,lv,2016-10-30,48.0,42.0,1024.0,6.0
American Research Group,New Hampshire,lv,2016-10-31,43.0,48.0,600.0,-5.0
American Research Group,New Hampshire,lv,2016-11-01,43.0,48.0,600.0,-5.0
American Research Group,New Hampshire,lv,2016-11-02,43.0,48.0,600.0,-5.0
American Research Group,New Hampshire,rv,2016-06-24,47.0,42.0,533.0,5.0
American Research Group,New Hampshire,rv,2016-06-25,47.0,42.0,533.0,5.0
American Research Group,New Hampshire,rv,2016-06-26,47.0,42.0,533.0,5.0
American Research Group,New Hampshire,rv,2016-06-27,47.0,42.0,533.0,5.0
American Research Group,New Hampshire,rv,2016-06-28,47.0,42.0,533.0,5.0
American Research Group,New Hampshire,rv,2016-09-20,46.0,42.0,522.0,4.0
American Research Group,New Hampshire,rv,2016-09-21,46.0,42.0,522.0,4.0
American Research Group,New Hampshire,rv,2016-09-22,46.0,42.0,522.0,4.0
American Research Group,New Hampshire,rv,2016-09-23,46.0,42.0,522.0,4.0
American Research Group,New Hampshire,rv,2016-09-24,46.0,42.0,522.0,4.0
American Research Group,New Hampshire,rv,2016-09-25,46.0,42.0,522.0,4.0
American Research Group,U.S.,lv,2016-10-17,49.0,42.0,1006.0,7.0
American Research Group,U.S.,lv,2016-10-18,49.0,42.0,1006.0,7.0
American Research Group,U.S.,lv,2016-10-19,49.0,42.0,1006.0,7.0
American Research Group,U.S.,lv,2016-10-20,49.0,42.0,1006.0,7.0
American Research Group,U.S.,rv,2016-05-17,46.0,46.0,980.0,0.0
American Research Group,U.S.,rv,2016-05-18,46.0,46.0,980.0,0.0
American Research Group,U.S.,rv,2016-05-19,46.0,46.0,980.0,0.0
American Research Group,U.S.,rv,2016-05-20,46.0,46.0,980.0,0.0
American Research Group,U.S.,rv,2016-06-17,50.0,41.0,987.0,9.0
American Research Group,U.S.,rv,2016-06-18,50.0,41.0,987.0,9.0
American Research Group,U.S.,rv,2016-06-19,50.0,41.0,987.0,9.0
American Research Group,U.S.,rv,2016-06-20,50.0,41.0,987.0,9.0
American Research Group,U.S.,rv,2016-07-17,43.0,42.0,990.0,1.0
American Research Group,U.S.,rv,2016-07-18,43.0,42.0,990.0,1.0
American Research Group,U.S.,rv,2016-07-19,43.0,42.0,990.0,1.0
American Research Group,U.S.,rv,2016-07-20,43.0,42.0,990.0,1.0
American Research Group,U.S.,rv,2016-08-17,47.0,42.0,994.0,5.0
American Research Group,U.S.,rv,2016-08-18,47.0,42.0,994.0,5.0
American Research Group,U.S.,rv,2016-08-19,47.0,42.0,994.0,5.0
American Research Group,U.S.,rv,2016-08-20,47.0,42.0,994.0,5.0
American Research Group,U.S.,rv,2016-09-17,47.0,44.0,990.0,3.0
American Research Group,U.S.,rv,2016-09-18,47.0,44.0,990.0,3.0
American Research Group,U.S.,rv,2016-09-19,47.0,44.0,990.0,3.0
American Research Group,U.S.,rv,2016-09-20,47.0,44.0,990.0,3.0
American Strategies,Washington,lv,2016-06-15,48.0,36.0,804.0,12.0
American Strategies,Washington,lv,2016-06-16,48.0,36.0,804.0,12.0
American Strategies,Washington,lv,2016-06-17,48.0,36.0,804.0,12.0
American Strategies,Washington,lv,2016-06-18,48.0,36.0,804.0,12.0
American Strategies,Washington,lv,2016-06-19,48.0,36.0,804.0,12.0
American Strategies,Washington,lv,2016-06-20,48.0,36.0,804.0,12.0
Angus Reid Global,U.S.,lv,2016-11-01,48.0,44.0,1151.0,4.0
Angus Reid Global,U.S.,lv,2016-11-02,48.0,44.0,1151.0,4.0
Angus Reid Global,U.S.,lv,2016-11-03,48.0,44.0,1151.0,4.0
Angus Reid Global,U.S.,lv,2016-11-04,48.0,44.0,1151.0,4.0
Anzalone Liszt Grove Research,Louisiana,lv,2016-08-29,40.0,46.0,605.0,-6.0
Anzalone Liszt Grove Research,Louisiana,lv,2016-08-30,40.0,46.0,605.0,-6.0
Anzalone Liszt Grove Research,Louisiana,lv,2016-08-31,40.0,46.0,605.0,-6.0
Anzalone Liszt Grove Research,Louisiana,lv,2016-09-01,40.0,46.0,605.0,-6.0
Anzalone Liszt Grove Research,Ohio,lv,2016-09-27,44.0,42.0,800.0,2.0
Anzalone Liszt Grove Research,Ohio,lv,2016-09-28,44.0,42.0,800.0,2.0
Anzalone Liszt Grove Research,Ohio,lv,2016-09-29,44.0,42.0,800.0,2.0
Anzalone Liszt Grove Research,Ohio,lv,2016-09-30,44.0,42.0,800.0,2.0
Anzalone Liszt Grove Research,Ohio,lv,2016-10-01,44.0,42.0,800.0,2.0
Anzalone Liszt Grove Research,Ohio,lv,2016-10-02,44.0,42.0,800.0,2.0
Arizona State University,Arizona,lv,2016-08-17,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-18,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-19,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-20,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-21,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-22,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-23,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-24,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-25,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-26,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-27,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-28,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-29,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-30,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-08-31,39.9,36.8,704.0,3.1000000000000014
Arizona State University,Arizona,lv,2016-10-10,43.4,37.8,713.0,5.600000000000001
Arizona State University,Arizona,lv,2016-10-11,43.4,37.8,713.0,5.600000000000001
Arizona State University,Arizona,lv,2016-10-12,43.4,37.8,713.0,5.600000000000001
Arizona State University,Arizona,lv,2016-10-13,43.4,37.8,713.0,5.600000000000001
Arizona State University,Arizona,lv,2016-10-14,43.4,37.8,713.0,5.600000000000001
Arizona State University,Arizona,lv,2016-10-15,43.4,37.8,713.0,5.600000000000001
Associated Industries of Florida,Florida,lv,2016-04-25,49.0,36.0,604.0,13.0
Associated Industries of Florida,Florida,lv,2016-04-26,49.0,36.0,604.0,13.0
Associated Industries of Florida,Florida,lv,2016-04-27,49.0,36.0,604.0,13.0
Associated Industries of Florida,Florida,lv,2016-10-02,44.0,41.0,1000.0,3.0
Associated Industries of Florida,Florida,lv,2016-10-03,44.0,41.0,1000.0,3.0
Associated Industries of Florida,Florida,lv,2016-10-04,44.0,41.0,1000.0,3.0
Associated Industries of Florida,Florida,lv,2016-10-05,44.0,41.0,1000.0,3.0
Associated Industries of Florida,Florida,lv,2016-10-19,44.0,41.0,1000.0,3.0
BK Strategies,Missouri,lv,2016-10-27,39.0,53.0,1698.0,-14.0
BK Strategies,Missouri,lv,2016-10-28,39.0,53.0,1698.0,-14.0
Baldwin Wallace University,Ohio,lv,2016-02-11,37.0,39.0,825.0,-2.0
Baldwin Wallace University,Ohio,lv,2016-02-12,37.0,39.0,825.0,-2.0
Baldwin Wallace University,Ohio,lv,2016-02-13,37.0,39.0,825.0,-2.0
Baldwin Wallace University,Ohio,lv,2016-02-14,37.0,39.0,825.0,-2.0
Baldwin Wallace University,Ohio,lv,2016-02-15,37.0,39.0,825.0,-2.0
Baldwin Wallace University,Ohio,lv,2016-02-16,37.0,39.0,825.0,-2.0
Baldwin Wallace University,Ohio,lv,2016-02-17,37.0,39.0,825.0,-2.0
Baldwin Wallace University,Ohio,lv,2016-02-18,37.0,39.0,825.0,-2.0
Baldwin Wallace University,Ohio,lv,2016-02-19,37.0,39.0,825.0,-2.0
Baldwin Wallace University,Ohio,lv,2016-02-20,37.0,39.0,825.0,-2.0
Baldwin Wallace University,Ohio,lv,2016-10-09,43.2,34.4,1152.0,8.800000000000004
Baldwin Wallace University,Ohio,lv,2016-10-10,43.2,34.4,1152.0,8.800000000000004
Baldwin Wallace University,Ohio,lv,2016-10-11,43.2,34.4,1152.0,8.800000000000004
Ball State University,Indiana,lv,2016-10-10,37.0,43.0,544.0,-6.0
Ball State University,Indiana,lv,2016-10-11,37.0,43.0,544.0,-6.0
Ball State University,Indiana,lv,2016-10-12,37.0,43.0,544.0,-6.0
Ball State University,Indiana,lv,2016-10-13,37.0,43.0,544.0,-6.0
Ball State University,Indiana,lv,2016-10-14,37.0,43.0,544.0,-6.0
Ball State University,Indiana,lv,2016-10-15,37.0,43.0,544.0,-6.0
Ball State University,Indiana,lv,2016-10-16,37.0,43.0,544.0,-6.0
Baruch College,New York,rv,2016-04-05,51.0,35.0,1306.0,16.0
Baruch College,New York,rv,2016-04-06,51.0,35.0,1306.0,16.0
Baruch College,New York,rv,2016-04-07,51.0,35.0,1306.0,16.0
Baruch College,New York,rv,2016-04-08,51.0,35.0,1306.0,16.0
Baruch College,New York,rv,2016-04-09,51.0,35.0,1306.0,16.0
Baruch College,New York,rv,2016-04-10,51.0,35.0,1306.0,16.0
Basswood Research,Illinois,lv,2016-07-11,46.4,32.5,772.0,13.899999999999999
Basswood Research,Illinois,lv,2016-07-12,46.4,32.5,772.0,13.899999999999999
Behavior Research Center (Rocky Mountain),Arizona,rv,2016-04-04,42.0,35.0,564.0,7.0
Behavior Research Center (Rocky Mountain),Arizona,rv,2016-04-05,42.0,35.0,564.0,7.0
Behavior Research Center (Rocky Mountain),Arizona,rv,2016-04-06,42.0,35.0,564.0,7.0
Behavior Research Center (Rocky Mountain),Arizona,rv,2016-04-07,42.0,35.0,564.0,7.0
Behavior Research Center (Rocky Mountain),Arizona,rv,2016-04-08,42.0,35.0,564.0,7.0
Behavior Research Center (Rocky Mountain),Arizona,rv,2016-04-09,42.0,35.0,564.0,7.0
Behavior Research Center (Rocky Mountain),Arizona,rv,2016-04-10,42.0,35.0,564.0,7.0
Behavior Research Center (Rocky Mountain),Arizona,rv,2016-04-11,42.0,35.0,564.0,7.0
Bellwether Research & Consulting,Indiana,rv,2016-05-11,31.0,40.0,600.0,-9.0
Bellwether Research & Consulting,Indiana,rv,2016-05-12,31.0,40.0,600.0,-9.0
Bellwether Research & Consulting,Indiana,rv,2016-05-13,31.0,40.0,600.0,-9.0
Bellwether Research & Consulting,Indiana,rv,2016-05-14,31.0,40.0,600.0,-9.0
Bellwether Research & Consulting,Indiana,rv,2016-05-15,31.0,40.0,600.0,-9.0
Bendixen & Amandi International,Nevada,lv,2016-09-27,45.0,44.0,800.0,1.0
Bendixen & Amandi International,Nevada,lv,2016-09-28,45.0,44.0,800.0,1.0
Bendixen & Amandi International,Nevada,lv,2016-09-29,45.0,44.0,800.0,1.0
Bendixen & Amandi International,Nevada,lv,2016-10-20,48.0,41.0,800.0,7.0
Bendixen & Amandi International,Nevada,lv,2016-10-21,48.0,41.0,800.0,7.0
Bendixen & Amandi International,Nevada,lv,2016-10-22,48.0,41.0,800.0,7.0
Bendixen & Amandi International,Nevada,lv,2016-10-23,48.0,41.0,800.0,7.0
Braun Research,Vermont,lv,2016-10-19,50.0,22.0,603.0,28.0
Braun Research,Vermont,lv,2016-10-20,50.0,22.0,603.0,28.0
Braun Research,Vermont,lv,2016-10-21,50.0,22.0,603.0,28.0
Braun Research,Vermont,lv,2016-10-22,50.0,22.0,603.0,28.0
CBS News/New York Times,U.S.,lv,2016-09-09,42.0,42.0,916.0,0.0
CBS News/New York Times,U.S.,lv,2016-09-10,42.0,42.0,916.0,0.0
CBS News/New York Times,U.S.,lv,2016-09-11,42.0,42.0,916.0,0.0
CBS News/New York Times,U.S.,lv,2016-09-12,42.0,42.0,916.0,0.0
CBS News/New York Times,U.S.,lv,2016-09-13,42.0,42.0,916.0,0.0
CBS News/New York Times,U.S.,lv,2016-09-28,45.0,41.0,805.0,4.0
CBS News/New York Times,U.S.,lv,2016-09-29,45.0,41.0,805.0,4.0
CBS News/New York Times,U.S.,lv,2016-09-30,45.0,41.0,805.0,4.0
CBS News/New York Times,U.S.,lv,2016-10-01,45.0,41.0,805.0,4.0
CBS News/New York Times,U.S.,lv,2016-10-02,45.0,41.0,805.0,4.0
CBS News/New York Times,U.S.,lv,2016-10-12,47.0,38.0,778.0,9.0
CBS News/New York Times,U.S.,lv,2016-10-13,47.0,38.0,778.0,9.0
CBS News/New York Times,U.S.,lv,2016-10-14,47.0,38.0,778.0,9.0
CBS News/New York Times,U.S.,lv,2016-10-15,47.0,38.0,778.0,9.0
CBS News/New York Times,U.S.,lv,2016-10-16,47.0,38.0,778.0,9.0
CBS News/New York Times,U.S.,lv,2016-10-28,45.0,42.0,927.0,3.0
CBS News/New York Times,U.S.,lv,2016-10-29,45.0,42.0,927.0,3.0
CBS News/New York Times,U.S.,lv,2016-10-30,45.0,42.0,927.0,3.0
CBS News/New York Times,U.S.,lv,2016-10-31,45.0,42.0,927.0,3.0
CBS News/New York Times,U.S.,lv,2016-11-01,45.0,42.0,927.0,3.0
CBS News/New York Times,U.S.,lv,2016-11-02,45.0,41.0,1426.0,4.0
CBS News/New York Times,U.S.,lv,2016-11-03,45.0,41.0,1426.0,4.0
CBS News/New York Times,U.S.,lv,2016-11-04,45.0,41.0,1426.0,4.0
CBS News/New York Times,U.S.,lv,2016-11-05,45.0,41.0,1426.0,4.0
CBS News/New York Times,U.S.,lv,2016-11-06,45.0,41.0,1426.0,4.0
CBS News/New York Times,U.S.,rv,2016-03-17,50.0,40.0,1058.0,10.0
CBS News/New York Times,U.S.,rv,2016-03-18,50.0,40.0,1058.0,10.0
CBS News/New York Times,U.S.,rv,2016-03-19,50.0,40.0,1058.0,10.0
CBS News/New York Times,U.S.,rv,2016-03-20,50.0,40.0,1058.0,10.0
CBS News/New York Times,U.S.,rv,2016-04-08,50.0,40.0,1098.0,10.0
CBS News/New York Times,U.S.,rv,2016-04-09,50.0,40.0,1098.0,10.0
CBS News/New York Times,U.S.,rv,2016-04-10,50.0,40.0,1098.0,10.0
CBS News/New York Times,U.S.,rv,2016-04-11,50.0,40.0,1098.0,10.0
CBS News/New York Times,U.S.,rv,2016-04-12,50.0,40.0,1098.0,10.0
CBS News/New York Times,U.S.,rv,2016-05-13,47.0,41.0,1109.0,6.0
CBS News/New York Times,U.S.,rv,2016-05-14,47.0,41.0,1109.0,6.0
CBS News/New York Times,U.S.,rv,2016-05-15,47.0,41.0,1109.0,6.0
CBS News/New York Times,U.S.,rv,2016-05-16,47.0,41.0,1109.0,6.0
CBS News/New York Times,U.S.,rv,2016-05-17,47.0,41.0,1109.0,6.0
CBS News/New York Times,U.S.,rv,2016-06-09,39.0,32.0,1048.0,7.0
CBS News/New York Times,U.S.,rv,2016-06-10,39.0,32.0,1048.0,7.0
CBS News/New York Times,U.S.,rv,2016-06-11,39.0,32.0,1048.0,7.0
CBS News/New York Times,U.S.,rv,2016-06-12,39.0,32.0,1048.0,7.0
CBS News/New York Times,U.S.,rv,2016-06-13,39.0,32.0,1048.0,7.0
CBS News/New York Times,U.S.,rv,2016-07-08,36.0,36.0,1358.0,0.0
CBS News/New York Times,U.S.,rv,2016-07-09,36.0,36.0,1358.0,0.0
CBS News/New York Times,U.S.,rv,2016-07-10,36.0,36.0,1358.0,0.0
CBS News/New York Times,U.S.,rv,2016-07-11,36.0,36.0,1358.0,0.0
CBS News/New York Times,U.S.,rv,2016-07-12,36.0,36.0,1358.0,0.0
CBS News/New York Times,U.S.,rv,2016-07-22,39.0,40.0,1118.0,-1.0
CBS News/New York Times,U.S.,rv,2016-07-23,39.0,40.0,1118.0,-1.0
CBS News/New York Times,U.S.,rv,2016-07-24,39.0,40.0,1118.0,-1.0
CBS News/New York Times,U.S.,rv,2016-07-29,43.0,38.0,1131.0,5.0
CBS News/New York Times,U.S.,rv,2016-07-30,43.0,38.0,1131.0,5.0
CBS News/New York Times,U.S.,rv,2016-07-31,43.0,38.0,1131.0,5.0
CNN/Opinion Research Corp.,Arizona,lv,2016-08-18,38.0,45.0,809.0,-7.0
CNN/Opinion Research Corp.,Arizona,lv,2016-08-19,38.0,45.0,809.0,-7.0
CNN/Opinion Research Corp.,Arizona,lv,2016-08-20,38.0,45.0,809.0,-7.0
CNN/Opinion Research Corp.,Arizona,lv,2016-08-21,38.0,45.0,809.0,-7.0
CNN/Opinion Research Corp.,Arizona,lv,2016-08-22,38.0,45.0,809.0,-7.0
CNN/Opinion Research Corp.,Arizona,lv,2016-08-23,38.0,45.0,809.0,-7.0
CNN/Opinion Research Corp.,Arizona,lv,2016-10-27,44.0,49.0,769.0,-5.0
CNN/Opinion Research Corp.,Arizona,lv,2016-10-28,44.0,49.0,769.0,-5.0
CNN/Opinion Research Corp.,Arizona,lv,2016-10-29,44.0,49.0,769.0,-5.0
CNN/Opinion Research Corp.,Arizona,lv,2016-10-30,44.0,49.0,769.0,-5.0
CNN/Opinion Research Corp.,Arizona,lv,2016-10-31,44.0,49.0,769.0,-5.0
CNN/Opinion Research Corp.,Arizona,lv,2016-11-01,44.0,49.0,769.0,-5.0
CNN/Opinion Research Corp.,Colorado,lv,2016-09-20,41.0,42.0,784.0,-1.0
CNN/Opinion Research Corp.,Colorado,lv,2016-09-21,41.0,42.0,784.0,-1.0
CNN/Opinion Research Corp.,Colorado,lv,2016-09-22,41.0,42.0,784.0,-1.0
CNN/Opinion Research Corp.,Colorado,lv,2016-09-23,41.0,42.0,784.0,-1.0
CNN/Opinion Research Corp.,Colorado,lv,2016-09-24,41.0,42.0,784.0,-1.0
CNN/Opinion Research Corp.,Colorado,lv,2016-09-25,41.0,42.0,784.0,-1.0
CNN/Opinion Research Corp.,Florida,lv,2016-09-07,44.0,47.0,788.0,-3.0
CNN/Opinion Research Corp.,Florida,lv,2016-09-08,44.0,47.0,788.0,-3.0
CNN/Opinion Research Corp.,Florida,lv,2016-09-09,44.0,47.0,788.0,-3.0
CNN/Opinion Research Corp.,Florida,lv,2016-09-10,44.0,47.0,788.0,-3.0
CNN/Opinion Research Corp.,Florida,lv,2016-09-11,44.0,47.0,788.0,-3.0
CNN/Opinion Research Corp.,Florida,lv,2016-09-12,44.0,47.0,788.0,-3.0
CNN/Opinion Research Corp.,Florida,lv,2016-10-27,49.0,47.0,773.0,2.0
CNN/Opinion Research Corp.,Florida,lv,2016-10-28,49.0,47.0,773.0,2.0
CNN/Opinion Research Corp.,Florida,lv,2016-10-29,49.0,47.0,773.0,2.0
CNN/Opinion Research Corp.,Florida,lv,2016-10-30,49.0,47.0,773.0,2.0
CNN/Opinion Research Corp.,Florida,lv,2016-10-31,49.0,47.0,773.0,2.0
CNN/Opinion Research Corp.,Florida,lv,2016-11-01,49.0,47.0,773.0,2.0
CNN/Opinion Research Corp.,Florida,rv,2016-03-02,50.0,43.0,854.0,7.0
CNN/Opinion Research Corp.,Florida,rv,2016-03-03,50.0,43.0,854.0,7.0
CNN/Opinion Research Corp.,Florida,rv,2016-03-04,50.0,43.0,854.0,7.0
CNN/Opinion Research Corp.,Florida,rv,2016-03-05,50.0,43.0,854.0,7.0
CNN/Opinion Research Corp.,Florida,rv,2016-03-06,50.0,43.0,854.0,7.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-10,46.0,44.0,698.0,2.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-11,46.0,44.0,698.0,2.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-12,46.0,44.0,698.0,2.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-13,46.0,44.0,698.0,2.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-14,46.0,44.0,698.0,2.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-15,46.0,44.0,698.0,2.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-27,43.0,49.0,790.0,-6.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-28,43.0,49.0,790.0,-6.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-29,43.0,49.0,790.0,-6.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-30,43.0,49.0,790.0,-6.0
CNN/Opinion Research Corp.,Nevada,lv,2016-10-31,43.0,49.0,790.0,-6.0
CNN/Opinion Research Corp.,Nevada,lv,2016-11-01,43.0,49.0,790.0,-6.0
CNN/Opinion Research Corp.,North Carolina,lv,2016-08-18,45.0,45.0,803.0,0.0
CNN/Opinion Research Corp.,North Carolina,lv,2016-08-19,45.0,45.0,803.0,0.0
CNN/Opinion Research Corp.,North Carolina,lv,2016-08-20,45.0,45.0,803.0,0.0
CNN/Opinion Research Corp.,North Carolina,lv,2016-08-21,45.0,45.0,803.0,0.0
CNN/Opinion Research Corp.,North Carolina,lv,2016-08-22,45.0,45.0,803.0,0.0
CNN/Opinion Research Corp.,North Carolina,lv,2016-08-23,45.0,45.0,803.0,0.0
CNN/Opinion Research Corp.,North Carolina,lv,2016-10-10,48.0,47.0,788.0,1.0
CNN/Opinion Research Corp.,North Carolina,lv,2016-10-11,48.0,47.0,788.0,1.0
CNN/Opinion Research Corp.,North Carolina,lv,2016-10-12,48.0,47.0,788.0,1.0
