,Airfield,S2,Wait_Time,C_Start,C0,C_avg,Sch_Departure,Act_Departure,BFO_Dest_City,BFO_Destination_Country_Code,order,Pass_ID,Departure_Date,Departure_Time,Time_of_Day,Period_of_Week,Day_of_Week,Month,Season,Year
27,SAF,2030-01-01 6:22,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970604,9837056,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
28,SAF,2030-01-01 6:22,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970605,9837059,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
29,SAF,2030-01-01 6:23,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970606,9837060,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
30,SAF,2030-01-01 6:24,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970607,9837065,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
31,SAF,2030-01-01 6:26,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970608,9837080,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
32,SAF,2030-01-01 6:26,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970609,9837082,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
33,SAF,2030-01-01 6:26,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970610,9837084,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
34,SAF,2030-01-01 6:28,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970611,9837101,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
35,SAF,2030-01-01 6:29,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970612,9837110,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
36,SAF,2030-01-01 6:29,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970613,9837111,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
37,SAF,2030-01-01 6:30,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970614,9837134,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
38,SAF,2030-01-01 6:30,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970615,9837136,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
39,SAF,2030-01-01 6:31,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970616,9837144,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
40,SAF,2030-01-01 6:31,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970617,9837145,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
41,SAF,2030-01-01 6:32,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970618,9837147,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
42,SAF,2030-01-01 6:32,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970619,9837162,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
43,SAF,2030-01-01 6:34,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970620,9837164,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
44,SAF,2030-01-01 6:34,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970621,9837165,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
45,SAF,2030-01-01 6:34,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970622,9837174,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
46,SAF,2030-01-01 6:35,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970623,9837187,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
47,SAF,2030-01-01 6:36,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970624,9837188,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
48,SAF,2030-01-01 6:36,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970625,9837191,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
49,SAF,2030-01-01 6:36,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970626,9837197,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
50,SAF,2030-01-01 6:37,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970627,9837198,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
51,SAF,2030-01-01 6:37,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970628,9837200,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
52,SAF,2030-01-01 6:38,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970629,9837204,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
53,SAF,2030-01-01 6:38,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970630,9837205,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
54,SAF,2030-01-01 6:40,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970631,9837206,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
55,SAF,2030-01-01 6:40,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970632,9837210,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
56,SAF,2030-01-01 6:40,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970633,9837213,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
57,SAF,2030-01-01 6:40,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970634,9837218,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
58,SAF,2030-01-01 6:41,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970635,9837222,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
59,SAF,2030-01-01 6:41,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970636,9837223,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
60,SAF,2030-01-01 6:41,NA,NA,1,NA,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970637,9837229,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
61,SAF,2030-01-01 6:42,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970638,9837232,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
62,SAF,2030-01-01 6:43,NA,NA,1,NA,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970639,9837239,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
63,SAF,2030-01-01 6:43,3,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970640,9837228,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
64,SAF,2030-01-01 6:44,1,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970641,9837248,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
65,SAF,2030-01-01 6:44,1,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970642,9837245,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
66,SAF,2030-01-01 6:46,2,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970643,9837256,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
67,SAF,2030-01-01 6:47,1,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970644,9837268,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
68,SAF,2030-01-01 6:49,1,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970645,9837292,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
69,SAF,2030-01-01 6:49,2,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970646,9837284,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
70,SAF,2030-01-01 6:49,2,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970647,9837285,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
71,SAF,2030-01-01 6:49,2,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970648,9837286,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
72,SAF,2030-01-01 6:49,2,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970649,9837291,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
73,SAF,2030-01-01 6:51,2,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970650,9837300,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
74,SAF,2030-01-01 6:52,2,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970651,9837312,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
75,SAF,2030-01-01 6:52,2,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970652,9837317,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
76,SAF,2030-01-01 6:53,2,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970653,9837319,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
77,SAF,2030-01-01 6:53,3,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970654,9837324,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
78,SAF,2030-01-01 6:54,2,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970655,9837327,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
79,SAF,2030-01-01 6:56,4,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970656,9837331,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
80,SAF,2030-01-01 6:56,3,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970657,9837347,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
81,SAF,2030-01-01 6:56,3,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970658,9837349,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
82,SAF,2030-01-01 6:56,3,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970659,9837350,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
83,SAF,2030-01-01 6:56,3,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970660,9837351,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
84,SAF,2030-01-01 6:58,4,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970661,9837363,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
85,SAF,2030-01-01 7:02,4,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970666,9837400,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
86,SAF,2030-01-01 7:03,10,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970667,9837355,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
87,SAF,2030-01-01 7:04,12,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970668,9837356,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
88,SAF,2030-01-01 7:05,10,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970669,9837375,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
89,SAF,2030-01-01 7:05,11,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970670,9837371,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
90,SAF,2030-01-01 7:06,13,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970671,9837372,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
91,SAF,2030-01-01 7:07,5,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970672,9837440,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
92,SAF,2030-01-01 7:11,8,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970677,9837455,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
93,SAF,2030-01-01 7:12,8,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970678,9837460,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
94,SAF,2030-01-01 7:12,9,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970679,9837456,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
95,SAF,2030-01-01 7:13,10,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970681,9837453,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
96,SAF,2030-01-01 7:14,20,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970682,9837382,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
97,SAF,2030-01-01 7:15,20,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970683,9837389,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
98,SAF,2030-01-01 7:15,20,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970684,9837388,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
99,SAF,2030-01-01 7:15,21,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970685,9837390,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
100,SAF,2030-01-01 7:16,21,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970686,9837394,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
101,SAF,2030-01-01 7:16,21,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970687,9837393,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
102,SAF,2030-01-01 7:17,22,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970688,9837395,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
103,SAF,2030-01-01 7:18,23,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970689,9837399,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
104,SAF,2030-01-01 7:18,15,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970690,9837471,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
105,SAF,2030-01-01 7:19,16,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970691,9837470,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
106,SAF,2030-01-01 7:19,16,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970692,9837472,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
107,SAF,2030-01-01 7:19,16,1,1,1,2030-01-01 10:59,2030-01-01 10:59,QUE,BOR,9970693,9837475,2030-01-01,10:59:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
108,SAF,2030-01-01 7:20,15,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970694,9837508,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
109,SAF,2030-01-01 7:20,15,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970695,9837507,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
110,SAF,2030-01-01 7:20,15,1,1,1,2030-01-01 10:59,2030-01-01 10:45,VES064,VES,9970696,9837506,2030-01-01,10:45:00,2 - MORNING,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
111,SAF,2030-01-01 7:21,14,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970697,9837523,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
112,SAF,2030-01-01 7:22,14,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970698,9837531,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
113,SAF,2030-01-01 7:26,1,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970699,9837668,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
114,SAF,2030-01-01 7:26,1,1,1,1,2030-01-01 11:19,2030-01-01 12:24,VES033,VES,9970700,9837667,2030-01-01,12:24:00,3 - AFTERNOON,2 - WEEKEND,2 - TUE,01-Jan,1 - WINTER,2030
