"","Airfield","Flight_ID","Sch_Departure","Act_Departure","Time_of_Day","Period_of_Week","Day_of_Week","Month","Season","Year","tot_pass","N","min","mean","median","max","mean_WTL","mean_City_Flag","mode_BFO_Dest_City","sum_city_mode","N_of_Dest_City","mode_BFO_Dest_Country_Code","sum_country_mode","N_of_Dest_Country","Delay_in_Seconds"
"19","AUC",18113,1851452760,1851453360,"4 - EVENING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",5,1,1,1,1,1,0,0,"BORQUE",5,1,"BOR",5,1,600
"20","AUC",18114,1851457140,1851457140,"4 - EVENING","1 - WEEKDAY","5 - FRI","09 - SEP","3 - SUMMER","2028",6,2,2,2,2,2,0,0,"BORQUE",6,1,"BOR",6,1,0
"21","AUC",18115,1851494760,1851494760,"2 - MORNING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",23,23,2,3.95652173913043,4,6,0,0,"BORQUE",23,1,"BOR",23,1,0
"22","AUC",18116,1851494760,1851503760,"2 - MORNING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",11,11,2,4.36363636363636,3,9,0,0,"BORQUE",11,1,"BOR",11,1,9000
"23","AUC",18117,1851495180,1851495180,"2 - MORNING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",42,42,1,4.23809523809524,4,8,0,0,"VES033",42,1,"VES",42,1,0
"24","AUC",18118,1851497160,1851497160,"2 - MORNING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",28,26,1,4.42307692307692,4,10,0,0,"BORQUE",28,1,"BOR",28,1,0
"25","AUC",18119,1851500160,1851500160,"2 - MORNING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",46,45,1,5.33333333333333,4,11,0,0,"BORCWL",46,1,"BOR",46,1,0
"26","AUC",18120,1851501540,1851501540,"2 - MORNING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",45,43,1,5.06976744186047,4,9,0,0,"BORQUE",45,1,"BOR",45,1,0
"27","AUC",18121,1851502560,1851502560,"2 - MORNING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",26,25,1,2.92,3,8,0,0,"BORCWL",26,1,"BOR",26,1,0
"28","AUC",18122,1851509160,1851509160,"3 - AFTERNOON","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",30,22,1,3.09090909090909,3,9,0,0,"BORQUE",30,1,"BOR",30,1,0
"29","AUC",18123,1851509760,1851509760,"3 - AFTERNOON","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",1,0,NA,NA,NA,NA,0,0,"BOR030",1,1,"BOR",1,1,0
"30","AUC",18124,1851514860,1851514860,"3 - AFTERNOON","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",26,21,1,2.95238095238095,2,12,0,0,"VES064",26,1,"VES",26,1,0
"31","AUC",18125,1851518160,1851518160,"3 - AFTERNOON","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",20,18,1,2.66666666666667,2,5,0,0,"BORQUE",20,1,"BOR",20,1,0
"32","AUC",18126,1851518520,1851533880,"4 - EVENING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",43,39,2,5.23076923076923,4,13,0,0,"BORQUE",43,1,"BOR",43,1,15360
"33","AUC",18127,1851519960,1851519960,"3 - AFTERNOON","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",29,26,2,3.03846153846154,3,5,0,0,"BORQUE",29,1,"BOR",29,1,0
"34","AUC",18128,1851522660,1851522660,"3 - AFTERNOON","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",35,30,1,3.36666666666667,2.5,12,0,0,"BORCWL",35,1,"BOR",35,1,0
"35","AUC",18129,1851523560,1851523560,"3 - AFTERNOON","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",25,18,2,3.33333333333333,3,7,0,0,"BORCWL",25,1,"BOR",25,1,0
"36","AUC",18130,1851525120,1851525120,"3 - AFTERNOON","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",45,41,1,3.26829268292683,3,7,0,0,"BORQUE",45,1,"BOR",45,1,0
"37","AUC",18131,1851527460,1851527460,"3 - AFTERNOON","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",42,34,1,3.08823529411765,3,6,0,0,"VES033",42,1,"VES",42,1,0
"38","AUC",18132,1851531660,1851531660,"4 - EVENING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",20,4,2,3.25,3.5,4,0,0,"NEN003",20,1,"NEN",20,1,0
"39","AUC",18133,1851534660,1851534660,"4 - EVENING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",6,1,1,1,1,1,0,0,"BORQUE",6,1,"BOR",6,1,0
"40","AUC",18134,1851536400,1851541620,"4 - EVENING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",19,0,NA,NA,NA,NA,0,0,"VES033",19,1,"VES",19,1,5220
"41","AUC",18135,1851537660,1851537660,"4 - EVENING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",14,0,NA,NA,NA,NA,0,0,"BORCWL",14,1,"BOR",14,1,0
"42","AUC",18136,1851537960,1851537960,"4 - EVENING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",22,0,NA,NA,NA,NA,0,0,"VES064",22,1,"VES",22,1,0
"43","AUC",18137,1851539160,1851539160,"4 - EVENING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",18,0,NA,NA,NA,NA,0,0,"BORQUE",18,1,"BOR",18,1,0
"44","AUC",18138,1851543660,1851543660,"4 - EVENING","2 - WEEKEND","6 - SAT","09 - SEP","3 - SUMMER","2028",10,0,NA,NA,NA,NA,0,0,"BORQUE",9,2,"BOR",9,2,0
"45","AUC",18139,1851581160,1851581160,"2 - MORNING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",32,32,1,4.59375,4,9,0,0,"BORQUE",32,1,"BOR",32,1,0
"46","AUC",18140,1851581580,1851581580,"2 - MORNING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",39,35,2,5.85714285714286,6,11,0,0,"VES033",39,1,"VES",39,1,0
"47","AUC",18141,1851582960,1851582960,"2 - MORNING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",10,10,2,5.1,3,11,0,0,"BORCWL",10,1,"BOR",10,1,0
"48","AUC",18142,1851583560,1851583560,"2 - MORNING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",25,25,1,3.4,2,10,0,0,"BORQUE",25,1,"BOR",25,1,0
"49","AUC",18143,1851584760,1851584760,"2 - MORNING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",12,12,1,3.75,3,11,0,0,"VES064",12,1,"VES",12,1,0
"50","AUC",18144,1851586560,1851586560,"2 - MORNING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",33,33,1,3.06060606060606,2,9,0,0,"BORCWL",30,2,"BOR",33,1,0
"51","AUC",18145,1851588360,1851588360,"2 - MORNING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",1,1,2,2,2,2,0,0,"NEN003",1,1,"NEN",1,1,0
"52","AUC",18146,1851595560,1851595560,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",43,38,1,2.44736842105263,2,4,0,0,"BORQUE",43,1,"BOR",43,1,0
"53","AUC",18147,1851599220,1851599220,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",34,32,1,3.6875,3,9,0,0,"VES033",33,2,"VES",33,2,0
"54","AUC",18148,1851600840,1851600840,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",42,38,1,5.05263157894737,5,10,0,0,"BORCWL",42,1,"BOR",42,1,0
"55","AUC",18149,1851601260,1851602160,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",18,18,2,4.61111111111111,4,9,0,0,"VES064",18,1,"VES",18,1,900
"56","AUC",18150,1851603960,1851603960,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",42,35,2,6.8,7,13,0,0,"BORCWL",42,1,"BOR",42,1,0
"57","AUC",18151,1851604560,1851604560,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",39,38,2,7.05263157894737,6.5,13,0,0,"BORQUE",39,1,"BOR",39,1,0
"58","AUC",18152,1851605100,1851605100,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",44,44,2,5.40909090909091,5,12,0,0,"BORQUE",44,1,"BOR",44,1,0
"59","AUC",18153,1851606360,1851606360,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",24,24,2,6.375,6.5,13,0,0,"BORQUE",24,1,"BOR",24,1,0
"60","AUC",18154,1851609060,1851609060,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",44,43,1,4.25581395348837,3,11,0,0,"BORCWL",44,1,"BOR",44,1,0
"61","AUC",18155,1851611400,1851612780,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",51,50,1,4.64,3,11,0,0,"BORQUE",51,1,"BOR",51,1,1380
"62","AUC",18156,1851613920,1851613920,"3 - AFTERNOON","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",38,37,1,3.91891891891892,3,9,0,0,"VES033",38,1,"VES",38,1,0
"63","AUC",18157,1851618060,1851618060,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",17,17,1,3.47058823529412,3,7,0,0,"NEN003",17,1,"NEN",17,1,0
"64","AUC",18158,1851619320,1851619320,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",30,29,1,2.6551724137931,2,6,0,0,"BORQUE",30,1,"BOR",30,1,0
"65","AUC",18159,1851620700,1851621960,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",40,35,1,3.71428571428571,3,9,0,0,"BORCWL",40,1,"BOR",40,1,1260
"66","AUC",18160,1851621060,1851621060,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",13,12,1,5.08333333333333,4.5,9,0,0,"BORQUE",13,1,"BOR",13,1,0
"67","AUC",18161,1851621600,1851621600,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",44,43,1,5.13953488372093,4,12,0,0,"BORCWL",44,1,"BOR",44,1,0
"68","AUC",18162,1851621660,1851627960,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",25,21,2,4.52380952380952,4,10,0,0,"BORQUE",25,1,"BOR",25,1,6300
"69","AUC",18163,1851623100,1851623100,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",36,30,1,6,5,27,0,0,"VES033",36,1,"VES",36,1,0
"70","AUC",18164,1851624060,1851624060,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",37,33,1,6.78787878787879,7,14,0,0,"BORCWL",37,1,"BOR",37,1,0
"71","AUC",18165,1851624360,1851628860,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",18,17,1,3.76470588235294,3,10,0,0,"VES064",18,1,"VES",18,1,4500
"72","AUC",18166,1851625560,1851625560,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",35,33,2,5.87878787878788,6,11,0,0,"BORQUE",35,1,"BOR",35,1,0
"73","AUC",18167,1851628200,1851634260,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",6,5,2,2.2,2,3,0,0,"BORQUE",6,1,"BOR",6,1,6060
"74","AUC",18168,1851630060,1851630060,"4 - EVENING","2 - WEEKEND","7 - SUN","09 - SEP","3 - SUMMER","2028",39,35,1,3.05714285714286,3,7,0,0,"BORQUE",39,1,"BOR",39,1,0
"75","AUC",18169,1851667560,1851667560,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",45,36,3,9.66666666666667,11,14,0,0,"BORQUE",45,1,"BOR",45,1,0
"76","AUC",18170,1851667980,1851667980,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",26,20,6,8.3,8,14,0,0,"VES033",26,1,"VES",26,1,0
"77","AUC",18171,1851668460,1851668460,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",9,9,7,10,11,12,0,0,"BORCWL",9,1,"BOR",9,1,0
"78","AUC",18172,1851668640,1851668640,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",29,25,2,7.52,9,12,0,0,"BORQUE",29,1,"BOR",29,1,0
"79","AUC",18173,1851669360,1851669360,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",29,26,2,5.73076923076923,4.5,12,0,0,"BORCWL",29,1,"BOR",29,1,0
"80","AUC",18174,1851669960,1851669960,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",29,25,1,6.08,5,12,0,0,"BORQUE",29,1,"BOR",29,1,0
"81","AUC",18175,1851671160,1851671160,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",17,17,2,4.70588235294118,5,8,0,0,"VES064",17,1,"VES",17,1,0
"82","AUC",18176,1851672660,1851672660,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",12,12,1,2.58333333333333,2.5,5,0,0,"BORQUE",12,1,"BOR",12,1,0
"83","AUC",18177,1851672960,1851672960,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",22,22,2,3.18181818181818,3,5,0,0,"BORCWL",22,1,"BOR",22,1,0
"84","AUC",18178,1851674760,1851674760,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",7,7,1,2.28571428571429,2,4,0,0,"NEN003",7,1,"NEN",7,1,0
"85","AUC",18179,1851675360,1851675360,"2 - MORNING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",22,22,1,2.54545454545455,3,5,0,0,"BORCWL",22,1,"BOR",22,1,0
"86","AUC",18180,1851681660,1851681660,"3 - AFTERNOON","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",41,39,1,2.8974358974359,3,5,0,0,"BORQUE",41,1,"BOR",41,1,0
"87","AUC",18181,1851681960,1851683160,"3 - AFTERNOON","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",41,38,1,2.94736842105263,3,5,0,0,"BORQUE",39,2,"BOR",39,2,1200
"88","AUC",18182,1851685620,1851685620,"3 - AFTERNOON","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",43,41,1,3.02439024390244,3,5,0,0,"VES033",43,1,"VES",43,1,0
"89","AUC",18183,1851687240,1851687240,"3 - AFTERNOON","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",33,32,1,2.375,2,5,0,0,"BORCWL",33,1,"BOR",33,1,0
"90","AUC",18184,1851687660,1851691260,"3 - AFTERNOON","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",13,12,1,2.08333333333333,2,4,0,0,"VES064",13,1,"VES",13,1,3600
"91","AUC",18185,1851690960,1851690960,"3 - AFTERNOON","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",21,18,1,2.44444444444444,2,4,0,0,"BORQUE",21,1,"BOR",21,1,0
"92","AUC",18186,1851691080,1851691080,"3 - AFTERNOON","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",14,13,2,2.53846153846154,2,4,0,0,"BORQUE",14,1,"BOR",14,1,0
"93","AUC",18187,1851692760,1851699960,"3 - AFTERNOON","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",38,36,2,2.86111111111111,3,5,0,0,"BORQUE",38,1,"BOR",38,1,7200
"94","AUC",18188,1851695460,1851695460,"3 - AFTERNOON","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",34,33,1,2.60606060606061,2,5,0,0,"BORCWL",34,1,"BOR",34,1,0
"95","AUC",18189,1851697800,1851702660,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",41,39,1,2.61538461538462,3,4,0,0,"BORQUE",41,1,"BOR",41,1,4860
"96","AUC",18190,1851700320,1851705360,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",40,33,1,2.39393939393939,2,5,0,0,"VES033",40,1,"VES",40,1,5040
"97","AUC",18191,1851705420,1851705420,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",36,34,1,2.44117647058824,2,4,0,0,"BORQUE",36,1,"BOR",36,1,0
"98","AUC",18192,1851707100,1851709260,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",24,23,2,3.21739130434783,3,6,0,0,"BORCWL",24,1,"BOR",24,1,2160
"99","AUC",18193,1851708000,1851714360,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",23,23,1,3.08695652173913,3,6,0,0,"BORCWL",23,1,"BOR",23,1,6360
"100","AUC",18194,1851708060,1851711960,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",16,16,1,3.125,3,5,0,0,"BORQUE",16,1,"BOR",16,1,3900
"101","AUC",18195,1851709500,1851716460,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",11,9,2,4.22222222222222,5,6,0,0,"VES033",11,1,"VES",11,1,6960
"102","AUC",18196,1851710460,1851716160,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",22,21,1,2.76190476190476,3,4,0,0,"BORCWL",22,1,"BOR",22,1,5700
"103","AUC",18197,1851710760,1851717060,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",4,4,1,2,2,3,0,0,"VES064",4,1,"VES",4,1,6300
"104","AUC",18198,1851711960,1851711960,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",18,18,1,2.11111111111111,2,4,0,0,"BORQUE",18,1,"BOR",18,1,0
"105","AUC",18199,1851714600,1851714600,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",17,16,1,2.1875,2,3,0,0,"BORQUE",17,1,"BOR",17,1,0
"106","AUC",18200,1851716460,1851716460,"4 - EVENING","1 - WEEKDAY","1 - MON","09 - SEP","3 - SUMMER","2028",28,13,1,1.76923076923077,2,3,0,0,"BORQUE",28,1,"BOR",28,1,0
"107","AUC",18201,1851753960,1851753960,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",35,32,3,7.375,7,13,0,0,"BORQUE",35,1,"BOR",35,1,0
"108","AUC",18202,1851754380,1851754380,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",9,6,3,5.66666666666667,6,9,0,0,"VES033",9,1,"VES",9,1,0
"109","AUC",18203,1851754860,1851757320,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",5,5,7,12.2,13,14,0,0,"BORCWL",5,1,"BOR",5,1,2460
"110","AUC",18204,1851755040,1851755040,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",31,28,2,8.64285714285714,9,14,0,0,"BORQUE",31,1,"BOR",31,1,0
"111","AUC",18205,1851755760,1851755760,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",17,14,3,9.21428571428571,10,15,0,0,"BORCWL",17,1,"BOR",17,1,0
"112","AUC",18206,1851756360,1851756360,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",14,9,9,11.7777777777778,12,17,0,0,"BORQUE",14,1,"BOR",14,1,0
"113","AUC",18207,1851757560,1851757560,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",16,15,3,10.6666666666667,11,17,0,0,"VES064",16,1,"VES",16,1,0
"114","AUC",18208,1851759060,1851759060,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",7,6,2,4.33333333333333,3,11,0,0,"BORQUE",7,1,"BOR",7,1,0
"115","AUC",18209,1851759360,1851759360,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",15,15,1,4.93333333333333,2,13,0,0,"BORCWL",15,1,"BOR",15,1,0
"116","AUC",18210,1851761160,1851761160,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",11,9,1,3.11111111111111,2,6,0,0,"NEN003",11,1,"NEN",11,1,0
"117","AUC",18211,1851761460,1851761460,"2 - MORNING","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",32,29,1,2.72413793103448,2,7,0,0,"BORCWL",32,1,"BOR",32,1,0
"118","AUC",18212,1851768060,1851768060,"3 - AFTERNOON","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",44,18,1,3.27777777777778,2,7,0,0,"BORQUE",44,1,"BOR",44,1,0
"119","AUC",18213,1851768360,1851768360,"3 - AFTERNOON","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",28,4,2,2.5,2,4,0,0,"BORQUE",28,1,"BOR",28,1,0
"120","AUC",18214,1851772860,1851772860,"3 - AFTERNOON","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",21,0,NA,NA,NA,NA,0,0,"VES033",21,1,"VES",21,1,0
"121","AUC",18215,1851773820,1851776460,"3 - AFTERNOON","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",11,3,2,2,2,2,0,0,"BORCWL",11,1,"BOR",11,1,2640
"122","AUC",18216,1851774060,1851774060,"3 - AFTERNOON","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",10,1,6,6,6,6,0,0,"VES064",10,1,"VES",10,1,0
"123","AUC",18217,1851777360,1851777360,"3 - AFTERNOON","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",8,6,2,7.16666666666667,7,13,0,0,"BORQUE",8,1,"BOR",8,1,0
"124","AUC",18218,1851777900,1851780600,"3 - AFTERNOON","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",33,27,1,4.96296296296296,5,12,0,0,"BORQUE",33,1,"BOR",33,1,2700
"125","AUC",18219,1851779160,1851786360,"3 - AFTERNOON","1 - WEEKDAY","2 - TUE","09 - SEP","3 - SUMMER","2028",29,28,1,5.75,4,15,0,0,"BORQUE",29,1,"BOR",29,1,7200
